English,Mon,Original_Definition
A back-bone curved man,အကုန်,"(n)  a back-bone curved man, a man with curved back bone."
A bad person,အကြံ,"အကြမ် (n) delinquent, doing wrong {person}, a bad person, an unruly person."
A badly brought up child,ယာဲ,"ကောန်ယာဲဟွံဝေတ် (n) a child whose mother does not restrain him, a badly brought up child."
A bag,ဖျေဲ,"4 (n) a bag, a net, in which a monk carries his bowl."
A bag,ဖျေယ်,"4 (n) a bag, a net, in which a monk carries his bowl."
A bag,ဖျေဲစၞာံ,"(n) a bag, a bellows."
A bamboo,ခၜေါမ်,ဒုန်မွဲထ္ၜောံ(မ်) (n) a bamboo.
A basket with square base,ပုက်,"(n) a basket with square base, small basket-shaped basket of palmyra leaf, square basket with cover, telescope basket."
A bathing place,စၞေဟ်,"(v) see ကဏှေ် (v) crossed in front, to give battle, to offer fight. (n) a haven, a bathing place."
A bathroom,သ္ၚိဇရုၚ်,"(n) a room of which a fire is kept, a bathroom."
A beam of a house,ဒရိပ်,"1 (n) motion from one place to another, course, arrow’s flight, instant, twinkling./n   ကွဳပၟတ်ဏံအာမွဲဒရိပ်ဓဝ်ဟာ (n) dose this train go to traight through?/n   မွဲဒရိပ်ဂှ်ဍေံလုပ် (n) he come in an instant later./n   မွဲဒရိပ်မတ် (n) the twinkling of an eye. [Cf] first sense, ဂြိပ်၊ ထၞ၊ ဒေၚ်၊ ဒမြိပ်၊ ဗရိပ်။    [Der] ဂြိပ် (v) to run. Vocalic infix, third sense by paronymic attraction of ဒရိပ်။/n   ဒရိပ်ကၞဳ (n) wallplate of house, runner of a boat, a beam of a house, a clam."
A beam of loom.  ကလိတ်တတ်၊ ကလိတ်တုတ်။,ကလိတ်,"1 (n) weaver’s beam, a beam of loom. [id] ကလိတ်တတ်၊ ကလိတ်တုတ်။"
A being,ပူဂဵု,"(n) [P. puggalo] an individual’s, human being, a person, respectable person, a creature, a being, a man."
A being,ပူဂိုလ်,"(n) [P. puggalo] an individual’s, human being, a person, respectable person, a creature, a being, a man."
