English,Mon,Original_Definition
B.c ,ဗဳသဳ,(n) {Eng.} B.C {Before Christ}.
B.c.g,ဗဳသဳဂျဳ,"(n) {Eng.} B.C.G {Bacillus Calmette Guerin}, vaccine for immunigation against tuberculosis."
Babe.  ကောန်။ nasal form of သ္ပတ်  to be small,သၟတ်,"1 (n) young creature, child, young, youngster, youth, little one, baby, babe. [Cf.] ကောန်။ Nasal form of သ္ပတ် (v) to be small."
Baby,သၟတ်,"1 (n) young creature, child, young, youngster, youth, little one, baby, babe. [Cf.] ကောန်။ Nasal form of သ္ပတ် (v) to be small."
Baby’s swing with boxed in seat,ဇုန်,(n) ဇုန်ဇာ (n) baby’s swing with boxed in seat.
Baby’s swing with boxed-in seat.  ခရေၚ်။  ဇုန်ဇာ။,ကောန်ဇာ,(n) baby’s swing with boxed-in seat. [Cf.] ခရေၚ်။ [Var.] ဇုန်ဇာ။
Baccaurca sapida and parviflora mueller arg.  တံၚ်ဂဇဵု။,တံၚ်ဒဇဵု,"(n) a kind of fruit-bearing tree, sometimes, cultivated, Baccaurca sapida and parviflora Mueller Arg. [id] တံၚ်ဂဇဵု။"
Baccaurea sapida,ခရေဲ,"2 (n) fruit of pierardia tree, Heritiera Attenuata, a kind of tree bearing edible fruits in branches, Baccaurea sapida."
Bachelor,ဗၠာဲ,"(n) bachelor, young man, boy who has reached the age of puberty, unmarried male past age of puberty."
Bachelor,အဗံက်,"(n) bachelor, boy who has reached the age of puberty. [id.] အဗၠာဲ။"
Bachelor pass marriage able age,ဗၠာဲဒုဲ,"(n) old bachelor, bachelor pass marriage able age, confirmed bachelor."
Bachelor pass usual age of marriage.  ဗၠာဲပရံၚ်။,ဗၠာဲဇၞော်,"(n) elderly bachelor, bachelor pass usual age of marriage. [Syn.] ဗၠာဲပရံၚ်။"
Bachelor quarters for members of the king’s retinue,တိုက်ဗၠာဲ,"(n) bachelor quarters for members of the king’s retinue, privy council organized around the four junior councilors. [id] ဝန်အပ္ဍဲ။"
Bacillus,ကမ,"စၟယဲ(ယ်) (n) microbe, bacillus."
Bacillus,ထၟယဲ,"(n) microbe, bacillus."
