English,Mon,Original_Definition
C multiflorum,ကတ်သြောံ,"ကတ်သြောအ် (n) caraway, name applied to some trees of the cinnamomum spp. C innactum, C multiflorum, etc, {Arab karawiya}."
C. used as fomentation,ဓုပ်,"2 (n) bundle, esp. one of herbs, & c. used as fomentation, bundle of herbs, anything else, used for fomenting to relieve pain {ဇွောံဇၞတ် (n) a thing for press}.    ထပက်ဓုပ် (v) to apply a poultice. [Cf.] ဇၞတ်။"
Cabbage,ရာဲကြုက်,"(n) cabbage, Brassica oleracea L. [id.] ရာဲအထုပ်။"
Cabin or lodge,ရာ်,"ရာက် (n) field hut, used as temporary dwelling during harvest season, cabin or lodge, temporary house in field or clearing. [Cf.] ဂဒုက်။ [Syn.] တာဲ(ယ်)။"
Cabin or lodge,ရာက်,"(n) field hut, used as temporary dwelling during harvest season, cabin or lodge, temporary house in field or clearing. [Cf.] ဂဒုက်။ [Syn.] တာဲ(ယ်)။"
Cabinet,ကိပ်ဗိနိတ်,"(n) [Eng.] cabinet, council of ministers of the government."
Cabinet of ministers,ဂကောံဝန်ဇၞော်,(n) cabinet of ministers.
Cackle.  က္တက်။,ကတတ်,"(n) to cluck, cackle. [id] က္တက်။"
Cactus,မၚ်,"2 (n) မၚ်ကြေံ(အ်) (n) cactus, prickly pear, euphorbia nerifolia L. [id] တၞံမၚ်ကြေံ(အ်)။"
Cadet ,လၟောဝ်ဗၠာဲသၟိၚ်,(n) cadet {for military duty}.
Cadre,ကေဒါ,(n) cadre.
Caesalpinia bonducella fleming,တလိၚ်,"3 (n) fever-nut creeper, Caesalpinia bonducella Fleming."
Caesalpinia digyna rottler,တၞံချာဲ,"(n) a kind of thorny creeper, Caesalpinia digyna Rottler."
Caesalpinia naga aitchison,ဒလဣဝုတ်ဒဵု,"(n) a kind of thorny creeper, Caesalpinia naga Aitchison."
Caesalpinia nuga aitchison,ဂလဣဝုတ်ဒဵု,"(n) a kind of thorny creeper, Caesalpinia nuga Aitchison."
Caesalpinia nuga aitchison,ဇလဣဝုတ်ဒဵု,"(n) a kind of thorn creeper, Caesalpinia nuga Aitchison."
Caesalpinia nuga aitchison,ဓလဣဝုတ်ဒဵု,"(n) a kind of thorn creeper, Caesalpinia nuga Aitchison."
Caesalpinia nuga creeper,ဣဝုတ်,2 (n) ဇလဣဝုတ်ဒဵု Caesalpinia nuga creeper.
Caesapinia muga aitchison,ခလ,"ဇလဣဝုတ်ဒဵု (n) a kind of thorny creeper, Caesapinia muga Aitchison."
Cafe တေံညိ။,caff,ရံၚ် cafe တေံညိ။
Cafe' n.  ဆေၚ်ဍာ်ကာဖဲ၊  ဆေၚ်ဍာ်လက်ဖက်။,cafe,(cafe' n.  ဆေၚ်ဍာ်ကာဖဲ၊  ဆေၚ်ဍာ်လက်ဖက်။
Cage,ခဏေံ,"ခရိုၚ်သၞေံ(မ်) (n) claw, cage."
Cage,ခရိုၚ်,"(n) enclosure for animals, pen, corral, cage, box-trap, sty."
Cage,ခြိုၚ်,"(v) to enclose, fence in. [Cf.] ဗိုၚ်။ [Der.] ခြိုၚ် (n) pound, cage."
Cage for prisoner,ဂုက်,"(n) gaol, prison, prison cell, cage for prisoner, jail, lock-up. [Var.] ကြိုၚ်စုတ်လဝ်ပ္ဍဲခရိုၚ်၊ စာတ်၊ သ္ၚိစာတ်။ [Syn.] ထံၚ်။"
Cage for prisoners,စာတ်,"(n) cage for prisoners, prison cell, lock-up. [id] သ္ၚိစာတ်။"
Cage for prisoners,သ္ၚိစာတ်,(n) cage for prisoners.
Cage of bird,သၞေံ,"ခြိုၚ်သၞေံ(မ်) (n) talon, claw, esp. of a bird of prey, cage of bird."
Cage of bird,သၞေမ်,"ခြိုၚ်သၞေံ(မ်) (n) talon, claw, esp. of a bird of prey, cage of bird."
Cage trap for large animals.  ကၟိန်။  ကယဝ်၊ ခမၚ်၊ ဂွဝ်၊ တေပ်၊ တီု၊ ဓၟၚ်။,ကမိန်,"1 (n) basket fish-trap, a funnel shaped fishing basket, cage trap for large animals. [id] ကၟိန်။ [Cf.] ကယဝ်၊ ခမၚ်၊ ဂွဝ်၊ တေပ်၊ တီု(မ်)၊ ဓၟၚ်။"
Cage.  စြိုၚ်။  ခရိုၚ်။,စရိုၚ်,"(n) mantrap, enclose for animals, pen, corral, cage. [id] စြိုၚ်။ [Var.] ခရိုၚ်။"
Caiman တေံညိ။,cayman,ရံၚ် caiman တေံညိ။
Cajole,ပလဳ,"(v) cajole, wheedle, deceive, play false, lie, to be deceitful, insincere, to feign, to be false."
Cajolery,ဒဒှ်စကာနကဵုဂလာန်ထ္အၚ်ပ္တိုန်,(n) cajolery.
Cake,ကွာၚ်,"(n) confection prepared from flour {loaf of} bread, cake, pudding biscuit."
Cake of rice dried and mixed with sugar,ကွာၚ်ပုၚ်ဓူနဍူ,(n) cake of rice dried and mixed with sugar.
Cake of rice dried and mixed with sugar.    ကွာၚ်ပုၚ်မောဝ်နဍူ  cake of rice mixed with sugar,နဍူ,2 (n) cake of rice dried and mixed with sugar.    ကွာၚ်ပုၚ်မောဝ်နဍူ (n) cake of rice mixed with sugar.
Cake prepared by pounding steamed glutinous rice with roasted sesame seeds and dressed with coconut slices,ခပေၚ်,"3 (n) sweet meat of glutinous rice and sessamum, cake prepared by pounding steamed glutinous rice with roasted sesame seeds and dressed with coconut slices."
Cake resembling doughnut,ကွာၚ်ကၠေၚ်,"(n) cake resembling doughnut, fried sweet pancake made of rice flour and palm sugar, butter, fried cake."
Cakes formed of cooked rice dried and mixed with sugar,နာဍူ,"(n) cakes formed of cooked rice dried and mixed with sugar, gum-kino tree."
Cakes formed of cooked rice dried mixed with sugar.  နာဍူ၊ ပုၚ်မူနာဍူ။,ပုၚ်မောဝ်နာဍူ,(n) cakes formed of cooked rice dried mixed with sugar. [id] နာဍူ၊ ပုၚ်မူနာဍူ။
Calabash .    တၞာလဵု  overhead trellis on which gourds grow,လဵု,"1 (n) gourd, gourd creeper, kind of vegetable morrow, calabash {utensil}.    တၞာလဵု(ဝ်) (n) overhead trellis on which gourds grow."
Calabash .    တၞာလဵု  overhead trellis on which gourds grow,လိုဝ်,"1 (n) gourd, gourd creeper, kind of vegetable morrow, calabash {utensil}.    တၞာလဵု(ဝ်) (n) overhead trellis on which gourds grow."
Calamity,ဘဲ,"(n) calamity, punishment."
Calamity,ဘယ်,"(n) calamity, punishment."
Calamity,အန္တရာဲ,"(n) [P.] danger, harm, accident, calamity, disaster."
Calamity,ဥပဒြဴ,"(n) [Skt. upadrava] mischance, calamity."
Calamity time of catastrophe,ကပ်,"2 (n) natural disasters, an era, calamity time of catastrophe."
Calamus lalifolius rattan,ထာ,(n) ဇုက်ၜဝ်လေံထာ (n) Calamus lalifolius rattan.
Calamus latifolious rattan,ဌာ,(n) ဇုက်ၜဝ်လာံဌာ(ထာ) (n) Calamus latifolious rattan.
Calamus latifolius roxbrugh,ဇုက်ၜဝ်,"ဇုက်ၜဝ်လေံထာ (n) large species of rattan, Calamus latifolius Roxbrugh."
Calamus long isetus griffith,ခတိုအ်,"(n) ခတိုံဇုက် (n) a kind of rattan, Calamus long isetus Griffith."
