English,Mon,Original_Definition
D. griffithii miqu. and shinneri king. tall,အၚ်,"1 (n) a kind of tree, which belong to a species of Dipterocarpus, board-leaved tall tree yielding reddish, resinous wood. Dipterocarpus tuberculatus.   တၞံအၚ် (n) generic name for various species of Dipterocarpus.   အၚ်ဒိုၚ် (n) species of Dipterocarpus yielding oil.   အၚ်ရေၚ် (n) lard shorea, D. Griffithii Miqu. and shinneri King. tall, indigenous hardwood tree bearing sprays fragrant, red flowers in early summer, Pentacme suavis."
D.t.d,ဒဳတဳဒဳ,"(n) [Eng] D.T.D, an insecticide."
Dab,တေံ,"1 တေအ် (v) touch something lightly, dab, goad.    တေံကေတ်တဲ (adv) {dispense favour} surreptitiously, under the counter.    တေံတဲ (v) tip of, give notice."
Daboia russellii shaw,ဇြုံဗုဲ,"(n) viper, Russell’s viper, Daboia russellii Shaw."
Dacoit,ဓမၠ,"1 (n) bandit, dacoit, robber.    [Der.] ဒမၠ (v) to rob.    ပလတ် (n) thief."
Dacoit.  ဓမၠ၊ မၞိဟ်ပၠံၚ်ၜး။  ပလတ်။     ဒလ  to rob,ဒမၠ,"1 (n) robber, bandit, dacoit. [id] ဓမၠ၊ မၞိဟ်ပၠံၚ်ၜး။ [Cf] ပလတ်။    [Der] ဒလ (v) to rob."
Daddy,အပါ,"(n) father, papa, daddy."
Daegung,လ္ဂုၚ်,"1 (n) {place-name} Daegung, Laegung, Rangoon. [id.] ဒ္ဂုၚ်။    ကျာ်လ္ဂုၚ် (n) Laegung pagoda. [id.] ကျာ်ဒ္ဂုၚ်။    ဍုၚ်လ္ဂုၚ် (n) Rangoon. [id.] ဍုၚ်ဒ္ဂုၚ်။ [Cf.] ဒ္ဂုၚ်။"
Daft person,အကြံ,"အကြအ် (n) foolish and stupid person, fool, nitwit, person with very little intelligence, crazy, daft person, silly fellow, lunatic, madman, insane person."
Dagger.  သၞော်။,နှာ်,"(n) {colloq} double-edged sword forming part of royal regalia, sword, scepter, dagger. [id] သၞော်။"
Dagon pagoda,ဓါတ်သော်လ္ဂုၚ်,"(n) Dagon pagoda, [Bur. called Shwe Dagon pagoda] at လ္ဂုၚ် Rangoon, Bur. ရန်ကုန်, famous pagoda at Rangoon. [id] ကျာ်ဒဂုၚ်။"
Dahlia.  flower),ဒေလှဳယျာ,(n) [Eng] dahlia. (ပ္ကဴ (n) flower)
Daily record of events,လိက်သ္ကေံသ္ကံတဲ,"(n) diary, daily record of events."
Daily wage system,စတ္ၚဲ,"(n) daily wage system, worker on daily wages."
Daily.  ရိုဟ်ဒဒှ်တ္ၚဲ၊ ရိုဟ်ရိုဟ်တ္ၚဲ။,ရိုဟ်တ္ၚဲ,"(v) every day, daily. [id.] ရိုဟ်ဒဒှ်တ္ၚဲ(ယ်)၊ ရိုဟ်ရိုဟ်တ္ၚဲ။"
Daintily,နဒဒှ်မဂၠာဲဂလာန်,(adv) daintily.
Daintiness,ဒဒှ်မဂၠာဲဂလာန်,(n) daintiness.
Daisy  flower),ဒေသဳ,(n) [Eng] daisy (ပ္ကဴ (n) flower).
Dal,တ္ၜဲပေါၚ်,"(n) dal, a variety of bean."
Dal,ၜဲပလုတ်,"ၜဲပေါၚ် (n) dal, a kind of bean."
Dalbergia cultrate graham,ဆုကြက်ဂြၚ်,"(n) black wood, Moulmein ebony, Dalbergia cultrate Graham."
Dalbergia cultvata graham,ကြက်ဂြၚ်,"(n) Moulmein ebony, Dalbergia cultvata Graham."
Dalbergia haurzii prain,ဆုသမ္အုဲ,"(n) a large tree having malodorous wood, Dalbergia haurzii Prain."
Dalbergia kurzii prain,မှာကး,"(n) [LF] မှာကးဆုဂဥုဲ(ယ်) (n) a kind of tree, Dalbergia kurzii Prain."
Dalbergia spinosa,ဗြေဟ်,"(n) shrub, shrub of the marsh lands, Dalbergia spinosa."
Dalbergia spinosa thicket of bushed,ဂြိုပ်ဗြေဟ်,"(n) the delta forest or tidal area, thickets of bushes and shrubs like the Dalbergia spinosa growing in marshy places, dalbergia spinosa thicket of bushed, thicket of bushed and shrubs like the Dalbergia spinosa growing in the marshy places, thicket of bushes and shrubs like the dalbergia spinosa growing in the marshy places, stunted wood or forest. [id] ဗြေဟ်။"
Dalbergia velutina bentham.  ထောထညာန်။,ဆုတဝ်ပၞုတ်,"(n) chisel handle tree, Dalbergia velutina Bentham. [Syn.] ထောထညာန်။"
Dam,ကမိုန်,"(n) dam, embankment. [id] ကၟိုန်၊ တၟိုန်။"
Dam,စြာၚ်,"(n) {body of water retained by} dam, reservoir, moat. [Cf.] ကၟာ၊ တၟိုန်၊ ထ္ၜိုၚ်။ [Var.] သြာၚ်။"
Dam,တမိုန်,"(n) dam, embankment. [id] တၟိုန်။"
Dam,တၟိုန်,"(n) dike, embankment, dam."
Dam,ယာဲ,"(n) mother, dam."
Dam,သာၚ်,"2 (n) dam, moat, trench {body of water retrained by}, reservoir. [Cf.] ကၟာ၊ စြာၚ်၊ တၟိုန်၊ ထ္ၜိုၚ်။"
Dam,သြာၚ်,"(n) {body of water retained by} dam, reservoir, moat. [Cf.] ကၟာ၊ တၟိုန်၊ ထ္ၜိုၚ်။ [Var.] စြာၚ်။"
Dam.  စြာၚ်၊ စြာၚ်ဍာ်။,စရာၚ်,3 (n) dam. [id] စြာၚ်၊ စြာၚ်ဍာ်။
Damage or mar the reputation of a person,ပလီုမုက်မတ်,"(v) damage or mar the reputation of a person, soil a person’s good name."
Dammar pine,သၟိၚ်ဆု,"(n) dammar pine, Podocapus latifolius R. Brown."
Damp,ဍုက်,"1 (v) to be wet, damp, sappy, green, green full of sap.    ဂၠိက်ယာတ်ဂှ်ဍုက်အိုတ်ရ (v) all his clothes got soaked.    ဆုဍုက်ဍုက် (n) green wood."
Dampen.  သ္ကဵုဓတ်အိုတ်စိုတ်လီု။,သ္ကဵုက္တဴအုပ်ဒၟံၚ်,(v) dampen. [id.] သ္ကဵုဓတ်အိုတ်စိုတ်လီု(မ်)။
Damsel,ဗြဴသၟတ်,(n) damsel.
Dance,ယူ,"ယူထလာ်(က်) (v) to leap, dance, caper. [id.] ယူသလာ်(က်)။"
Dance,သ္ဘၚ်လှ်ေ,"(n) dance, nautch."
Dance and drama of the olden days performed on the ground with audience round it,ဇာတ်လးဇာတ်ပ္ဍဲတိ,(n) dance and drama of the olden days performed on the ground with audience round it.
Dancer,သၟာသ္ဘၚ်,"(n) performer {esp. for dramatic art} actor, singer, dancer."
Dancing,ဗလှေ်,"(v) to cause to dance. (n) dance, dancing."
Dandruff,ခလှာဒိုၚ်,"(n) scurf, disease of the scalp, dandruff, flakes of dead skin. [esp.] on the scalp that comes off as new skin grows. [Var.] ခလှာဒိုၚ်။ [id] ခူ၊ ဂျတ်။"
Danger,ဒစုက်ဇလသၞ,"(n) danger, source of danger."
Danger,ဘယာ,"(n) [P.] danger, fear."
Danger,ဝဳဝဲ,"(n) danger, clamity."
Danger,သၞသတြု,"(n) danger, harm, enmity, adversary."
Danger,အန္တရာဲ,"(n) [P.] danger, harm, accident, calamity, disaster."
Danger from punishment of king or ruler,ဝိဝဲသၟိၚ်,(n) danger from punishment of king or ruler.
Danger of death,ဘဲဂမ္စိုတ်,(n) danger of death.
Danger of death,မစ္စု,ဘဲမစ္စု (n) danger of death.
Danger.  ဘဲ။  ဝဲ  malice,ဝိဝဲ,"(n) [LF] impending or potential calamity, danger. [Cf.] ဘဲ(ယ်)။ [Der.] ဝဲ (n) malice."
Danger.  ဘဲ။  ဝဲ  malice,ဝိဝယ်,"(n) [LF] impending or potential calamity, danger. [Cf.] ဘဲ(ယ်)။ [Der.] ဝဲ (n) malice."
Dangerously.  နဒဒှ်သွက်သ္ဒးဂွိၚ်က္တဴခိုဟ်။,နဒဒှ်မဒှ်သွက်သ္ဒးဂွိၚ်ဂွာဲခိုဟ်,(adv) dangerously. [id] နဒဒှ်သွက်သ္ဒးဂွိၚ်က္တဴခိုဟ်။
