English,Mon,Original_Definition
Gad-fly.  ဟေံ။,ဇၚ်ရာဲ,"2 (n) small species of house-fly, gad-fly. [id] ဟေံ(အ်)။"
Gadfly,ဟေံ,1 (n) gadfly.
Gadfly,ဟေအ်,1 (n) gadfly.
Gaiety,ပွမမိပ်မြဟ်,(n) gaiety.
Gaily,နဒဒှ်မမိပ်မြဟ်,(adv) gaily.
Gain,ဂုန်ဖဵု,"(n) benefit, gain, profit."
Gain,မြာကလိဂွံ,"(v) get on, to prosper, gain, attain."
Gain favour,ဂွံမုက်,"(v) gain favour, receive recognition, approbation, earn recognition and commendation."
Gain intensity or momentum,အသိၚ်ခိုဟ်,"(v) {of things} go well, move at a brisk pace, maker fine progress, gain intensity or momentum."
Gain release from suffering,ၜးတိတ်နူဝိပက်,"(v) gain release from suffering, be relieved of onerous duties, etc. {ဝိပက် (n) result, effect, consequence of one's deeds}."
Gain.    ဂွံပရဲမူစိရော  how much profit did you makes?  ဂၠိၚ်။     ပြဲ  to make a profit,ပရဲ,"2 (n) profit, gain.    ဂွံပရဲမူစိရော (n) how much profit did you makes? [opp.] ဂၠိၚ်။    [Der.] ပြဲ (v) to make a profit."
Gain.    ဂွံပရဲမူစိရော  how much profit did you makes?  ဂၠိၚ်။     ပြဲ  to make a profit,ပရယ်,"2 (n) profit, gain.    ဂွံပရဲမူစိရော (n) how much profit did you makes? [opp.] ဂၠိၚ်။    [Der.] ပြဲ (v) to make a profit."
Gait.  လ္အာ။    ဂတိလ္အာ  transition from one existence to another.    လ္အာဇာတ်  plot or story .    လ္အာဒွက်  tune of a song.  အချဝ်ဒွက်။    လ္အာဝၚ်  source of history,လအာ,"1 (n) going, gait. [id.] လ္အာ။    ဂတိလ္အာ (n) transition from one existence to another.    လ္အာဇာတ် (n) plot or story {of a play, film, etc}.    လ္အာဒွက် (n) tune of a song. [id.] အချဝ်ဒွက်။    လ္အာဝၚ် (n) source of history, annals.    လ္အာဝတ္ထု (n) outline story."
Galantine,တ္ၜိုၚ်,"2 (n) galantine, pickle."
Galantine,ၜိုၚ်,"2 (n) galantine, pickle. [Var.] တ္ၜိုၚ်။"
Gale,ဂဗိုတ်,"3 (n) gale, storm.    ကျာဂဗိုတ် (n) squall. [Cf.] လဗိုတ်။"
Gale,လဗိုတ်,"1 (n) gale, storm.    ကျာလဗိုတ် (n) sqaull, tempest. [id.] လဗိုတ်ကျာ။"
Gall,ကမတ်,5 (n) [id] ကၟတ်။    ကၠၚ်ကၟတ် (n) gall.
Gall,ကၟတ်,3 (n) ကၠၚ်ကၟတ် (n) gall.
Gall,ကၠၚ်ကၟတ်,(n) gall.
Gall,ဖျုန်ကၟဝ်,"(n) red flesh, gall, bulbous growth {on bone or tree} parasitic shrub of the Lormthus, family, mistle toe. [id] တၞံကောန်ကၠၚ်။"
Gall bladder,ကၠၚ်ကၟတ်,သ္ၚိကၠၚ်ကၟတ် (n) gall bladder.
Gall shaped like crab’s claws on leaf of rhus succedanea tree,ကတ်ဗုၚ်က,"(n) gall shaped like crab’s claws on leaf of Rhus Succedanea tree, used for medicinal and other purposes."
Gall-bladder.  သ္ၚိကၠၚ်ပၟတ်။,သ္ၚိကၠၚ်ကၟတ်,(n) gall-bladder. [id.] သ္ၚိကၠၚ်ပၟတ်။
Gall.    ဆီသ္ၚိပၟတ်  menses,ပၟတ်,2 (n) ကၠၚ်ပၟတ် (n) gall.    ဆီသ္ၚိပၟတ် (n) menses.
Gall.    သ္ၚိကၠၚ်ကၟတ်  gall bladder,ကၠၚ်,3 (n) ကၠၚ်ကၟတ် (n) gall.    သ္ၚိကၠၚ်ကၟတ် (n) gall bladder.
Gallant,သရာဲသ္ဂံၚ်,"(n) man of moral and physical courage, hero, gallant."
Gallery,စၚ်ကြံ,"စၚ်ကြမ် (n) a covered walk, gallery, cloister."
