English,Mon,Original_Definition
I,ဍိက်,"အဲဍိက် (n) I, your slaves."
I,သွဵု,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
I,သွိုဝ်,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
I,အတ္တ,"(n) I, self."
I,အဟံ,(pron.) [P. aham] I.
I,အဲ,"(pers.) (pron.) I, me."
I,အဲဍိက်,"(pers.) (pron.) I, slave {male}. respectful. Used chiefly in addressing monks to superiors in general, used by an inferior in age or rank to the person addressed, {also in Burmese and Siam}."
I abused him in retaliation,ဂုန်,"ဂုန်ဍေံတက်အဲ အဲကလေၚ်လက်ဍေံ(ဟ်) (n) as he hit me, I abused him in retaliation."
I abused him in return,ကလေၚ်,"ဂုန်ဍေံတက်အဲ အဲကလေၚ်လက်ဍေံ(ဟ်) (v) as he hit me, I abused him in return."
I am a complete newcomer here,ရောၚ်,အဲမၞိဟ်တၟိသက်သက်ရောၚ်အဏံ(အ်) (v) I am a complete newcomer here.
I am a complete newcomer here,သက်သက်,အဲမၞိဟ်တၟိသက်သက်ဏောၚ်အဏံ(အ်) (adv) I am a complete newcomer here.
I am a year off seventy,ဒေက်,အယုက်အဲထပှ်စှော်ဒေက်မွဲသၞာံ(မ်) (v) I am a year off seventy.
I am able to give names to a few only and some of them are conjectural,ဖံ,"တက်ဖံ(မ်) (n) to play drums. [Cf.] စေဝ်၊ ဓဗိုန်၊ ဓါပ်။ a great variety in name of drums is found in the literature. I subjoin a list, I am able to give names to a few only and some of them are conjectural."
I am able to give names to a few only and some of them are conjectural,ဖမ်,"တက်ဖံ(မ်) (n) to play drums. [Cf.] စေဝ်၊ ဓဗိုန်၊ ဓါပ်။ a great variety in name of drums is found in the literature. I subjoin a list, I am able to give names to a few only and some of them are conjectural."
I am afraid he cannot come today,ဖေက်,အဲဖေက်ညးကၠုၚ်ဟွံမာန်တ္ၚဲဏံ(အ်) (v) I am afraid he cannot come today.
I am afraid he may not come to the school today,ဂွိၚ်,တ္ၚဲဏံအဲဂွိၚ်ဖေက်ဍေံဟွံကၠုၚ်ဘာ (v) I am afraid he may not come to the school today.
I am afraid i cannot read or write,ဖေက်အဲဟွံလေပ်လိက်,(v) I am afraid I cannot read or write.
I am afraid of missing the boat.  ဖေက်ဟွံဂတာပ်၊ ဖေက်ဟွံတာပ်က္ၜၚ်၊ ဖေက်ဟွံဂတာပ်က္ၜၚ်။,တာပ်,ဖေက်ဟွံတာပ် (v) I am afraid of missing the boat. [id] ဖေက်ဟွံဂတာပ်၊ ဖေက်ဟွံတာပ်က္ၜၚ်၊ ဖေက်ဟွံဂတာပ်က္ၜၚ်။
I am afraid of missing the train,ဂွိၚ်ဖေက်ဟွံဂတာပ်ကွဳပၟတ်,(v) I am afraid of missing the train.
I am afraid of missing the train,ဒွိၚ်ဖေက်ဟွံဂတာပ်ကွဳပၟတ်,(v) I am afraid of missing the train.
I am afraid you may not come to the school to day,ဒွိၚ်,တ္ၚဲဏံအဲဒွိၚ်ဖေက်ဗှ်ေဟွံကၠုၚ်ဘာ (v) I am afraid you may not come to the school to day.
I am afraid you must have thought me very boorish indeed,အရိုၚ်,အဲဂွိၚ်ဖေက်ဇကုထေၚ်အဲ မၞိဟ်အရိုၚ်မွဲကွေံရ (adj.) I am afraid you must have thought me very boorish indeed.
