English,Mon,Original_Definition
K fear his heartless nature,ဒမြိုဟ်,အဲဖေက်ဒမြိုဟ်ေဍံ(ဟ်) (v) K fear his heartless nature.
Kachin,ကချေၚ်,"(n) Kachin {an ethnic group in Burma}, name of one of the Tibeto Burma speaking, national groups of the union of Burma."
Kaempferia candida wallich.  ပ္ကဴတေံ။,ကဴတေံ,"(n) bulbous herb-flower, ginger wort, edible root with white crocus like flower, Kaempferia candida wallich. [id] ပ္ကဴတေံ(အ်)။"
Kakusandho,ကက္ကုသန်,"(n) Kakusandho, the first of the five Buddhas of the present cycle."
Kalakani,ဒေဝတဴကာလခဏ္ဏဳ,"(n) kalakani, the goddess of adversity, goddess."
Kaleidoscope,ပၠံၚ်ဒ္ၚောဝ်ရုပ်နာနာသာ်,(n) kaleidoscope.
Kaleidoscopic,မလေပ်ပြံၚ်သၠာဲ,(adj) kaleidoscopic.
Kangaroo.  ပှ်လေၚ်ကောန်။,သတ်လေၚ်ကောန်,(n) kangaroo. [id.] ပှ်လေၚ်ကောန်။
Kaop paoy la waoh is a city known of fame,ယှ်,ကပ္ပိလဝှ်ဍုၚ်မယှ်တဴ (v) Kaop paoy la waoh is a city known of fame.
Kaop paoy la waoh is a city known of fame,ယဟ်,ကပ္ပိလဝှ်ဍုၚ်မယှ်တဴ (v) Kaop paoy la waoh is a city known of fame.
Kapbee coing. ,က္ၜဳစိၚ်,(n) Kapbee Coing. [Bru. Irraweddy].
Kapbee daer graing. ,က္ၜဳဒါဂြာၚ်,(n) Kapbee Daer graing. [Bur. Dagyaing].
Kapbee graing. ,က္ၜဳဂြာၚ်,(n) Kapbee Graing. [Bur. Irraweddy].
Kapbee hong gruo. ,က္ၜဳဟံၚ်ဂြဝ်,(n) Kapbee Hong gruo. [Bur. Haung tharaw].
Kapbee sang lorn. .  က္ၜဳသလောန် kapbee salorn,က္ၜဳသၚ်လောန်,(n) Kapbee Sang lorn. [Bru. Salween]. [id] က္ၜဳသလောန် Kapbee Salorn.
Kapbee seag tiung. ,က္ၜဳသက်တိုၚ်,(n) Kapbee Seag tiung. [Bur. Sittang].
Karen,ကရေၚ်,"1 (n) Karen {Kareang}, Kayin, name of one of Tibeto-burman speaking national groups of the Union of Burma.    ကရေၚ်ဗၟာ (n) Sghaw Karen {Kareang}.    ကရေၚ်မန် (n) Pwo Karen {Kareang}."
Karen state.  တွဵုရးကရေၚ် ,ရးကရေၚ်,(n) Karen State. [id] တွဵုရးကရေၚ် (n).
Karma,ကမ်,"2 (n) Karma, law of good and bad actions, the cumulative product of a person’s past actions determining his destiny at any given time. [Cf.] ဝိပက်။"
Karma,ကံ,"2 ကမ် (n) Karma, law of good and bad actions, the cumulative product of a person’s past actions determining his destiny at any given time. [Cf.] ဝိပက်။"
Katha region and northern parts of the shan state,ဂျိန်ဖဵု,"(n) Jingphaw, one of Kachin ethnic groups inhabiting the Kachin State, Katha region and northern parts of the Shan State. {also သိၚ်ပဝ်}, ဂျေန်ပဝ်။"
Kayah,ကယာ,"1 (n) Kayah, name of one of Tibeto-Burman speaking national groups of the Union of Bruma, an ethnic group in Bruma."
Kayin,ကရေၚ်,"1 (n) Karen {Kareang}, Kayin, name of one of Tibeto-burman speaking national groups of the Union of Burma.    ကရေၚ်ဗၟာ (n) Sghaw Karen {Kareang}.    ကရေၚ်မန် (n) Pwo Karen {Kareang}."
Keel,ဨရာ,"(n) keel, keel of a ship or boat. [id] ဂၞာ၊ ဂၞာဂၠုၚ်။"
Keel of a ship or boat.  ဂၞာ၊ ဂၞာဂၠုၚ်။,ဨရာ,"(n) keel, keel of a ship or boat. [id] ဂၞာ၊ ဂၞာဂၠုၚ်။"
Keen,မနွံစိုတ်ထတ်ထတ်,"(adj) eager, keen, full of interest or desire."
Keen,အကေက်,"(n) a brighter, sharp, keen, fellow or man."
Keenly,ဗွဲမသ္ကာတ်မြဟ်,"(adv) keenly, sorely, violently. [id] နဒဒှ်မထတ်သ္ကာတ်ပ္ဍဲစိုတ်၊ ဗွဲမဂၠိုၚ်၊ အဓမ္မ။"
Keenness,ဒဒှ်စိုတ်မထတ်သန်,(n) keenness.
Keep,ဒဂိုန်,"2 (v) to observe, keep, undertake. [id] ဒ္ဂိုန်။ [Cf.] ဒ္ဂေတ်၊ မၚ်။ [Der.] ဒ္ဂိုန် (n) first month of Lent."
Keep,ဓဂိုန်,"2 (v) to preserve, observe, keep, undertake."
Keep a paramour,မံၚ်တြုံဍောတ်,"(n) {of married woman} keep a paramour, a lover."
Keep an eye on.   မၚ်မွဲ။  ထိၚ်၊ မၚ်၊ မွဲ၊ ရံၚ်။,ရံၚ်စံၚ်,"(v) watch over, to look after, keep an eye on.  [id.] မၚ်မွဲ(ယ်)။ [Cf.] ထိၚ်၊ မၚ်၊ မွဲ၊ ရံၚ်။"
Keep apart,ဖရိၚ်,"(v) to separate, disperse, keep apart."
Keep apart.  သရိၚ်။,ခရိၚ်,"(v) to separate, disperse, keep apart. [id] သရိၚ်။"
Keep as domestic animal,ဝဳဗ္စ,"(v) to feed, keep as domestic animal."
Keep away form,ဗလေတ်ဒဴ,(v) keep away form.
Keep back,ကၞိက်,"တၞိက် (v) keep back, keep secret, to conceal, keep concealed. [Cf.] ပၠံ(အ်)၊ ပၠတရဴ၊ ဖျာ၊ ဖျာတရဴ။"
Keep back deny. ကၞိက်,ကဏိက်,"(v) to conceal, keep conceal, keep secret, keep back deny. ကၞိက် [id]"
Keep burning,စံၚ်ဗ္ဂုဲ,(v)  keep burning.
Keep conceal,ကဏိက်,"(v) to conceal, keep conceal, keep secret, keep back deny. ကၞိက် [id]"
Keep concealed,တနိက်,"(v) to conceal, keep concealed, keep secret. [id] တၞိက်။"
Keep concealed,တၞိက်,"(v) to conceal, keep concealed, keep secret, to deny, to falsify. [Cf.] ဂြောပ်၊ ဒလုက်။ [Syn.] ဒဒန်၊ ပၞုက်။"
Keep concealed.  ပၠံ၊ ပၠတရဴ၊ ဖျာ၊ ဖျာတရဴ။,ကၞိက်,"တၞိက် (v) keep back, keep secret, to conceal, keep concealed. [Cf.] ပၠံ(အ်)၊ ပၠတရဴ၊ ဖျာ၊ ဖျာတရဴ။"
Keep down,ဖျဝ်ဖျေံ,"(v) to bring down, keep down, to keep down, to oppress, to keep in subjection, lower. [id] တံၚ်ဖျေံ(ဟ်)၊ လဖဝ်၊ လဖ္တုံ(မ်)၊ ဇွောဝ်ဖျေံ(ဟ်)၊ သ္ကဵုသဝ်စှေ်။ [Der.] သ္ကဵုဒတုံစှေ်ကၠုၚ် (v) bring down."
Keep in order,အုဲဗဂုဲ,"(v) keep in order, keep in repair, companion or attendant for sundry job."
Keep in repair,အုဲ,"3 (v) gather up, scoop.    အုဲဗဂုဲ (v) keep in order, keep in repair, companion or attendant for sundry job.    အုဲဗဂုဲကၠောန်ၜိုတ် (v) wait on {a revered person} hand and food."
Keep in repair,အုဲဗဂုဲ,"(v) keep in order, keep in repair, companion or attendant for sundry job."
Keep in the mouth,ခၜံ,"ခၜမ် (v) to place, have, hold, in one’s mouth, keep in the mouth, to close in the mouth. [id] ထ္ၜံ(မ်)။"
Keep in the mouth,ဗ္ၜံ,ဗ္ၜမ် (v) keep in the mouth.
Keep in the mouth,ဗ္ၜမ်,(v) keep in the mouth.
Keep in the mouth.  ဗ္ၜံ။,ဗၜံ,(v) keep in the mouth. [id] ဗ္ၜံ(မ်)။
Keep in the mouth.  ဗ္ၜံ။,ဗၜမ်,(v) keep in the mouth. [id] ဗ္ၜံ(မ်)။
Keep mum,တၟာတ်ပါၚ်,"(v) muzzle, prevent a person from saying things, keep mum, keep silent."
Keep mum,ဗၜံ,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep mum,ဗၜမ်,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep num,ဗ္ၜံလဝ်ဍာ်,"(v) keep silent, keep num."
Keep on going a little further,စိုပ်,"ဟွံစိုပ်ဖျာဏီဆက်အာညိကၠာ(v) we are not at the market yet, keep on going a little further."
Keep on going a little further.  first sense,ဆက်,"ဟွံစိုပ်ဖျာဏီဆက်အာညိကၠာ (v) we are not at the market yes, keep on going a little further. [Cf.] first sense, ဆန်၊ ဖျပ်၊ ဗ္ဂပ်၊ ဗစိပ်။ second sense, ထုဲ၊ ပံၚ်၊ ဖက်၊ သၞဴ၊ ဟုဲ။ third sense, ပူဇဴ၊ ဗ္ဂိန်။"
Keep or take one’s hands off,ဗလေတ်တဲ,(v) keep or take one’s hands off.
Keep pace with,ဗက်,"1 (v) to follow, to go after chase, send away, banish, to go away with, accompany, keep pace with, to drive.    အဲဍိက်သ္ဒးဗက်ကီုဟာ (v) am I to come with you, sir?.    အဲဗက်ဗှေ်ဟွံမာန် (v) I cannot keep up with you.    အဲဗက်ဟွံဂတာပ် (v) I cannot catch him up.    ကာလကျာ်ဇၞော်က္ညတိုန်ဍုၚ်လ္ဂုၚ်ညးဇမၞော်ကွာန်တံဗက်ပလံၚ်ဏာဍုၚ်မတ်လမၠီု(မ်) (v) when the abbot went to Bangoon the senior men in the village went with him as far as Moulmein {Moadlaomlame}.    ကၠဗက်ရပ်ဂြာဲဂှ် (v) the tiger caught that deer.    ကွာ်ဗက် (v) to follow, work along.    ဂြိပ်ဗက် (v) to run after.    ဂၠာဲဗက် (v) to go in search of.    ဍေံဗက်ဒၟံၚ်ဒၞာဲဇိုၚ်အပါဍေံအံ(အ်) (v) he is following in his father’s footsteps.    ဒ္ဂေတ်ဗက် (v) to comply with.    ဗှေ်ဗက်စှေ်ဍုၚ်ဖဴမိဗှေ်ကီုဟာ (v) are you going down to town with your mother?.    ယဝ်ရသၟိၚ်တံရပ်ဂွံဍေံညးတံဗက်ထောံနူဍုၚ်အဲထေၚ် (v) if the government can lay hands on him they will deport him, I think.    Final in v. phr, after denotes imitation. ဟီုဗက်အဲ (v) say it after me. [Cf] ကွာ်ဗက်။ [Cf] first sense, ပ္ကီု၊ ပါ၊ ဘာတ်။ second sense, တက်။"
Keep quiet,မံၚ်သ္ၚိတ်သ္ၚိတ်,(v) keep quiet.
Keep quiet,ဟိတ်,မံၚ်ဟိတ်ဟိတ် (v) keep quiet.
Keep quiet,ဟိတ်,"မံၚ်ဟိတ်ဟိတ်ဇြဇြညိ (v) keep quiet, quiet, please. [Cf.] ကၞပ်၊ ဍိတ်။"
Keep quiet .    ထၟောၚ်ပါၚ်  lips.  သၟောန်ပါၚ်။    ဒုၚ်ပါၚ်  to fall in with a suggestion,ပါၚ်,"2 (n) mouth, mouthful, quantifier for speech.    အရေဝ်တံဂှ််မွဲပါၚ်တုဲမွဲပါၚ်ချူလဝ် (n) write it down for word.    ဣဂှ်ပ္တိုန်ဒဵုဂွံပါၚ်တိုက် (v) learn this till you are word-perfect.    ကဵုပါၚ် (v) to start speaking.    ဆက်ပါၚ် (v) to greet, accost. [id] ကုဟ်။    စၜဴပါၚ်လီုဏောၚ် (n) if you go eating sugar-cane your appetite will be spoiled. [id] စတဴကံလီုဏောၚ်။    တၟာတ်ပါၚ် (v) to keep one’s mouth closed, keep quiet {shout}.    ထၟောၚ်ပါၚ် (n) lips. [id] သၟောန်ပါၚ်။    ဒုၚ်ပါၚ် (v) to fall in with a suggestion, assent. [id] ဒုၚ်ကံပါၚ်၊ ဒုၚ်ဝန်။    ဓရီုပါၚ် (n) upper lip.    ပထောၚ်ပါၚ်တရၚ် (n) doorway. [Cf.] ပါၚ်ဒပ်၊ ပါၚ်ဝေၚ်။    ပံက်ပါၚ် (v) to open one’s mouth.    မွဲပါၚ်ဟွံဟီု (n) he did not say a word.    ဟာပါၚ် (v) to open one’s mouth wide.    သော်ပါၚ် (n) moustache. [Cf.] ခၟဴ၊ ၚိတ်။    ပါၚ်ဆဂွံဟီုညိကွေံဟွံလံတဲစိုပ်ဣရ (n) he soon proceeds from words to blows."
Keep secret,ကဏိက်,"(v) to conceal, keep conceal, keep secret, keep back deny. ကၞိက် [id]"
Keep secret,ကၞိက်,"တၞိက် (v) keep back, keep secret, to conceal, keep concealed. [Cf.] ပၠံ(အ်)၊ ပၠတရဴ၊ ဖျာ၊ ဖျာတရဴ။"
Keep secret,တၞိက်,"(v) to conceal, keep concealed, keep secret, to deny, to falsify. [Cf.] ဂြောပ်၊ ဒလုက်။ [Syn.] ဒဒန်၊ ပၞုက်။"
Keep secret.  တၞိက်။,တနိက်,"(v) to conceal, keep concealed, keep secret. [id] တၞိက်။"
Keep silent,တၟာတ်ပါၚ်,"(v) muzzle, prevent a person from saying things, keep mum, keep silent."
Keep silent,ဗၜံ,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep silent,ဗၜမ်,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep silent,ဗ္ၜံလဝ်ဍာ်,"(v) keep silent, keep num."
Keep something hidden or cover up,ရနုက်ဗ္ဒန်,"(v) to be concealed, hidden, keep something hidden or cover up."
Keep something tight,ကၠက်,"(v) to be filled in, closed, blind, be fully covered or enveloped, keep something tight."
Keep suppressed,ၚိတ်လဝ်,"(v) keep suppressed {one’s feelings etc.}, be unostentatious."
Keep the accounts of an undertaking,ရပ်စရၚ်,"(v) to keep accounts, keep the accounts of an undertaking."
Keep the feast which ends lent.  လိုက်ဗှ်(ဟ်၊ သြပ်ပဝါ။,သှ်ပဝါ,"(v) to bring the Lenten season to a close, keep the feast which ends Lent. [id.] လိုက်ဗှ်(ဟ်၊ သြပ်ပဝါ။"
Keep the precepts.  မၚ်သဳ။,မၚ်သဳလ,(v) keep the precepts. [id] မၚ်သဳ။
Keep the seed of one crop for the next,စွံမ,(v) keep the seed of one crop for the next.
Keep under cover,ပလေံဇကု,"(v) disguise, keep under cover, become invisible {by super natural means}."
Keep water in the mouth,ဗၜံ,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep water in the mouth,ဗၜမ်,"ဗ္ၜံဍာ် keep silent, keep mum, keep water in the mouth."
Keep တေံညိ။,kept,ရံၚ် keep တေံညိ။
Keeper,ကၟၚ်,"(n) [id] ပၟၚ် see ကမၚ် (n) guard, guardian, attendant, keeper."
Keeper,ဂၟာ,"(n) herd, keeper."
Keeper,ပမၚ်,"(n) keeper, guard. [id] ပၟၚ်။"
Keeper,ပၟၚ်,"(n) guard, guardian, attendant, keeper, herd, watchman. [id] ပၟၚ်ပၟဲ။ {ရုၚ် (n) office, ဗေန် (n) bank, ဂုက် (n) prison}, ဂၟာ၊ မၞိဟ်မၚ်၊ မၞိဟ်မၚ်ကၚ်၊ မၞိဟ်မၚ်မွဲအာ၊ ရဲကၚ်။"
Keeper or custodian of important records,ပၟၚ်မွဲကဝ်,"(n) keeper or custodian of important records, archivist, registrar of a university."
Keeper.  ကၟၚ်၊ ပၟၚ်။    ကဵုပၟၚ်ပၟဲဂဝ်  to provide the womb with a guardian,ကမၚ်,"1 (n) guard, guardian, attendant, keeper. [id] ကၟၚ်၊ ပၟၚ်။    ကဵုပၟၚ်ပၟဲဂဝ် (v) to provide the womb with a guardian, to perform the protective rite over a pregnant woman.    [Der.] မၚ် (v) to watch over. ပၟၚ်အပေါတ် (n) butler.    ပၟၚ်ချေံ(ဟ်) (n) groom, syce.    ပၟၚ်ဂၠဴ (n) cow herd.    ပၟၚ်ဂြပ် (n) guardian spirit of treasure.    ပၟၚ်တရၚ် (v) watch man, durwan.    ပၟၚ်တှ်(ဟ်) (n) wet nurse. [Cf.] ဗမဴ၊ ဗၟဴ။    ပၟၚ်ပၟဴ (v) guard.    ပၟၚ်လမျီု (n) body guard."
Keeper.  ဓၟာ။  ဂၟာ၊ ပၟၚ်။,ဓမာ,"(n) herdsman, keeper. [id] ဓၟာ။ [Cf.] ဂၟာ၊ ပၟၚ်။"
Keeping sabbath,ဓဝ်သၟိၚ်စှ်ပြကာ,"(n) the ten precepts incumbent on a king. [viz.] (1) Charity, (2) Religious practice, (3) Benefaction, (4) Fairness, (5) Gentleness, (6) Keeping Sabbath, (7) Benevolence, (8) Avoidance of cruelty, (9) Patience, (10) Avoidance of conflict."
Keeping.  ပွမမၚ်မွဲ။,ပွမထိၚ်ဒက်,"(n) inhibition, keeping. [id] ပွမမၚ်မွဲ။"
Kelupazeylonensis,ဒုတ်ဒူ,"(n) ဂစေံဒုတ်ဒူ (n) brown fish owl, Kelupazeylonensis."
Kempei tai,ကိမ်ပေတာၚ်,"(n) {Japan} kempei tai, military police belonging to the Japanese army of occupation during the world War II."
Ken.  သြေဲဗသာ။  သေဲ၊ ဗသာ။,သြေဲ,"(n) wind instrument, ken. [id.] သြေဲဗသာ။ [Var.] သေဲ(ယ်)၊ ဗသာ။"
Kept in betel box.  ကၠံက်ပုန်။,ပန်,"1 (n) ကၠံက်ပန် (n) casket for lime, kept in betel box. [Cf.] ကၠံက်ပုန်။"
Kept in betel-box,ကၠံက်ပန်,"(n) casket for lime, kept in betel-box, bottle of lime in betel box. [id] ကၠံက်ပုန်။"
Kerb တေံညိ။,curb,ရံၚ် kerb တေံညိ။
Kernel,ဖဍုန်,"1 (n) kernel, kernel of grain or meat of a nut. [id] ဖ္ဍန်။ [Cf.] ဗဍန်၊ မ။    ဖ္ဍန်ခၟာဲ(ယ်) (n) yolk of eggs. [Syn.] ကြုတ်ခၟာဲ(ယ်)။ [opp.] ဖျုန်ခၟာဲ(ယ်)။    ဖ္ဍန်သတ် (n) kernel of areca nut.    ဖ္ဍန်သတ်ဗြဴ (n) coconut after removal of fibrous outer shell.    ဖ္ဍန်သြောံ(အ်) (n) rice kernel."
Kernel,ဗဍန်,"(n) kernel, kernel of grain, meat of nut. [Cf] မ၊ ဖ္ဍန်။"
Kernel,မ,"2 (n) seed, kernel, pill, small particle, small round object, quantifier for fruit, clocks.    ဂဥုဲမ (n) pills.    နာဍဳမွဲမ (n) one clock.    ဝေၚ်မကဴကှေ် (n) to play the Mimusops seed game.   သတ်ဂစွံပိမ (n) three myrobalans. [Cf.] [id] ဖ္ဍန်။"
Kernel of areca nut,ဖ္ဍန်သတ်,(n) kernel of areca nut.
Kernel of areca nut,ဗဍန်သတ်,(n) kernel of areca nut.
Kernel of areca-nut,ခ္ဍန်သတ်,(n) kernel of areca-nut.
Kernel of grain,ဗဍန်,"(n) kernel, kernel of grain, meat of nut. [Cf] မ၊ ဖ္ဍန်။"
