English,Mon,Original_Definition
M fragment,လွး,"1 (n) part, portion, segment, section, sector, fraction,m fragment, broken length of stick, broken pieces, part of fragments.    ပိလွး (n) three parts.    ၜါလွး (n) two parts, two pieces. [Var.] ကဝေက်။    [Der.] ဝး (v) to break."
Ma'am?,ma'am,"n.  အဴ(မရပ်စပ်သွက်ပူဂဵုကဆံၚ်သၠုၚ်သၠုၚ်)။  ၂။  သုၚ်စောဲစပ္ဍဲအရာမကော်ခဴစမၞိဟ်ဗြဴတံ။ How can I help you, ma'am?"
Maba buxifolia,ထဝိ,"(n) ဆုထဝိ (n) a kind of shrub, Maba buxifolia."
Maba buxifolia de candolle,ဆုထဝိ,(n) Maba buxifolia De Candolle.
Macacus leoninus blyth,ကၞုဲဗ္ကေတ်,"(n) long haired pigtailed monkey, Macacus leoninus Blyth."
Macacus leoninus blyth,ဏုဲ,"ကၞုဲဗ္ကေတ် (n) long haired pigtailed monkey, Macacus leoninus Blyth."
Macacus leoninus blyth,နုဲ,"ကၞုဲဗ္ကေတ် (n) longhaired pigtailed monkey, Macacus leoninus Blyth."
Macadmize,လးတၟံ,"(v) macadmize,-ise."
Mace,ကဴဇာဒိဖဵု,"(n) mace, nutmeg, nutmeg blossom, Myristica fargrans."
Mace,ခတေက်,"3 (n) mace, heavy club, mallet. [id] ဂတေက်။"
Mace,ပ္ကဴဇာဒိဖဵု,"(n) nutmeg blossom, mace."
Machination,အဖန်အဖက်,"(n) arrangement, scheme, paln, stratagem, machination, means, thought out method of doing something, management, preparation."
Machine,စက်,"(n) machine, machinery, engine, motor, wheel, disk-harrow."
Machine,ယန်,"9 (n) vehicle, machine, engine. [Var.] စက်။    ယန္တစက် (n) implement.    ယန်စက်ပ္ကဲ(ယ်) (n) machine, engine. [id.] ယန်စက်မတ္ကဲ(ယ်)။"
Machinery,စက်,"(n) machine, machinery, engine, motor, wheel, disk-harrow."
Machinery.  ကပေါတ်အၚ်္ဂစက်၊ ယာန်စက်အလဵုအသဳ။,အၚ်္ကရိယာစက်,(n) machinery. [id] ကပေါတ်အၚ်္ဂစက်၊ ယာန်စက်အလဵုအသဳ။
Machinist,အ္စာစက်,"(n) mechanic, machinist, engineer."
Machinist.  မၞိဟ်ရပ်စက်။,မၞိဟ်ဒဳစက်,(n) machinist. [id.] မၞိဟ်ရပ်စက်။
Mackerel,ကသ္ဍိ,"(n) mackerel, striped fish that live in the sea and eaten as food, Spanish mackerel, Cybium guttatum. [id] ကပၞာဲသတ်။"
Mackintosh,ပလောံဒုၚ်ဗြဲ,"(n) raincoat, mackintosh."
Macrones viltatus catfish,ပကိုၚ်ပ္တိုန်သြိုဟ်,က ပကိုၚ် (n) Macrones viltatus catfish.
Macrones vittatus bloch,ကပကိုၚ်,"(n) small kind of cat-fish, Macrones vittatus Bloch, small sorubium."
Mad man,ကမြအ်,"(n) mad man, crazy fellow. [id] တမြံ(အ်)၊ ကြံ(အ်)။"
