English,Mon,Original_Definition
P. anacaro} bad conduct,ပွအနကာရ,"(n) [P. Anacaro} bad conduct, bad manners."
P. dama} foot rope,နာဒါမ,"(n) [P. dama} foot rope, bullock driver or owner."
P. majjhima dasa} the central region,မဇ္ဇျိမဒိုဟ်,"(n) [P. Majjhima dasa} the central region, central India, the Holy Land of Buddhism, central region, Central India."
P. vandanam) salutation,ဝေါန်,"(n) [P. vandanam) salutation, homage."
P. vyakaranam} ဗျာကရိုန်  explanation,ဗျာ,"(n) [P. vyakaranam} ဗျာကရိုန် (n) explanation, exposition, grammanr."
Pa-ouh,ပအိုဟ်,"1 (n) Pa-ouh, name of one of ethnic groups of the Union of Burma, speaking Tibeto-Burman language."
Pacceka buddha or arahant.  သ္ပပရိနိဗ္ဗာန်။,ပရိနိဗ္ဗာန်,"(n) [L.F] death and enlightenment of Buddha, Pacceka Buddha or Arahant. [id] သ္ပပရိနိဗ္ဗာန်။"
Pace,လ္ဂာံ,"(n) pace, step. [Der.] ဂါ(မ်) (v) to step."
Pace,လဂါမ်,"(n) pace, step. [Der.] ဂါ(မ်) (v) to step."
Pace.    စှ်ဂါံ  ten paces.  လ္ဂာံ။,ဂါံ,1 ဂါမ် (n) pace.    စှ်ဂါံ(မ်) (n) ten paces. [Var.] လ္ဂာံ(မ်)။
Pachorn reads faster than you,အာနူ,မာံပချောန်ဗှ်လိက်အာနူဗှ်ေဏီ (v) Pachorn reads faster than you.
Pachyrhizus angulstus,ရိုဟ်ဇုက်,"(n) climber cultivated for its edible succulent tuberous roots, Pachyrhizus angulstus, succulent edible tuber."
Pachyura indica geoffory,နိ,"ကၞိဂဒဵု (n) musk rat, Pachyura indica Geoffory."
Pacification.  ဒဒှ်မလိုန်ပိန်ဖလှေက်ထောံအရာမသ္ကဵုက္တံၚ်တ္တဴဍုၚ်ကွာန်။,ဒဒှ်မကၠောန်သွက်သ္ဂောံဂွံပရေၚ်ၜိုဟ်လလံ,(n) pacification. [id] ဒဒှ်မလိုန်ပိန်ဖလှေက်ထောံအရာမသ္ကဵုက္တံၚ်တ္တဴဍုၚ်ကွာန်။
Pacified,ဟဲဟောံအာ,(v) pacified.
Pacifier,က္ဍိုပ်တှ်အလီ,(n) pacifier.
Pacifism,ကွေတ်ဝါဒမသ္ကဵုၜိုဟ်လလံ,(n) pacifism.
Pacifist,မၞိဟ်စှ်ေစိုတ်ကဵုဝါဒကွေတ် မဆေၚ်စပ်ကဵုပရေၚ်ၜိုဟ်လလံ,(n) pacifist.
Pacify,ပရေစိုတ်,"(v) to smooth the ruffled feelings of, pacify."
