English,Mon,Original_Definition
Rabbit.  ဗ္တာဲ။,ဗတာဲ,"(n) hare, rabbit. [id] ဗ္တာဲ(ယ်)။"
Rabbit.  ဗ္တာဲ။,ဗတာယ်,"(n) hare, rabbit. [id] ဗ္တာဲ(ယ်)။"
Race,ဂကူ,"(n) race, nation, nationality, kind, family, kin, sort, {of people} type, character."
Race,ဇာ,"2 (n) ဇာတိ (n) [P.] race, lineage, family.    ဇာတိဿရညာဏ် (n) [P.] remembrance of a former existence. [id] ပညာမဂြၚ်တီကဆံၚ်အတိက်။    ဂကူဇာတိ (n) pedigree, descent. [Cf.] အဆက်၊ ဂကူ၊ ဇာတ်၊ တၞောဝ်၊ ဒတောဝ်။"
Race,ပေဲါ,"(n) religious festival, dramastic entertainment, feast, festival, public entertainment, esp. given at such festival, feast, enterainment, contest, race."
Race,ပေါယ်,"(n) religious festival, dramastic entertainment, feast, festival, public entertainment, esp. given at such festival, feast, enterainment, contest, race."
Race,ပေဲါပြိုၚ်,"(n) contest, race, competition."
Race,ဝံသ,"(n) family, lineage, race."
Race horse,ခလှာတ်ဒမြိပ်ချေံ,(n) race horse.
Racehorse,ချေံဒမြိပ်,(n) racehorse.
Racial,ပရေၚ်ကောန်ဂကူ,"(n) racial, national affairs."
Racial,မဆေၚ်စပ်ကဵုဂကူမၞိဟ်,(adj) racial.
Racing canoe,ပြိုၚ်,ဂၠုၚ်ပြိုၚ် (n) racing canoe.
Racing canoe.  ဂၠုၚ်ပဝေၚ်။,ဂၠုၚ်ပြိုၚ်,(n) racing canoe. [Syn.] ဂၠုၚ်ပဝေၚ်။
Racing canoe.  ဂၠုၚ်ပြိုၚ်။,ဂၠုၚ်ပဝေၚ်,(n) racing canoe. [Syn.] ဂၠုၚ်ပြိုၚ်။
Rack or bin with open top,စၚ်,"1 (n) rack or bin with open top, framework, staging. [Cf.] ဟဝ်။    [Der.] ကၞၚ် (n) rib of frame work."
Racket,ပလေ,"1 (v) continuing noise, racket, to sound, to make a noise.    လ္ပကဵုပလေ (v) do not make a noise.   အသံပလေ (v) loud noise. [Cf.] အသံ(မ်)၊ ညာန်၊ ဗရု။"
Racket ,ရိတ်ကိတ်,"(n) [Eng.] racquet, racket {tennis or badminton}."
Racketeer.  မၞိဟ်ဂၠာဲပိုန်ဂြပ်နဲလီ။,မၞိဟ်ဂၠာဲပိုန်ဂြပ်နကဵုနဲကဲလီပၠီ,(n) racketeer. [id.] မၞိဟ်ဂၠာဲပိုန်ဂြပ်နဲလီ(မ်)။
Racquet,ရိတ်ကိတ်,"(n) [Eng.] racquet, racket {tennis or badminton}."
Radar,ရေဒါ,(n) [Eng.] radar.
Radiance,အရံၚ်,"(n) colour, hue, tinge, glow, radiance, sheen, luster, polish, appearance."
Radiance.  ဒဒှ်မဇၞော်ဒုတ်။,ဒဒှ်မတၟးဇး,"(n) resplendence, splendor, radiance. [id] ဒဒှ်မဇၞော်ဒုတ်။"
Radiantly,ဗွဲမယးတၟး,(adv) radiantly.
Radiation.  ဒဒှ်မဗလးကဵု၊ ဒဒှ်မပါ်ပြးတိတ်။,အရာမဗလးပ္တိတ်,(n) radiation. [id] ဒဒှ်မဗလးကဵု၊ ဒဒှ်မပါ်ပြးတိတ်။
Radiator,ကရိယာမဗလးပ္တိတ်ကဵုဓါတ်ဂမ္တဴ,(n) radiator.
Radically,နဒဒှ်မစှ်ေကဵုကဆံၚ်သ္ဇိုၚ်ချိုတ်ချိုတ်ပၠိုတ်ပၠိုတ်,(adv) radically.
Radio,ရေဒဳယဝ်,(n) [Eng.] radio.
Radio telescope,ရေဒဳယဝ်တေဝ်လဳသကပ်,(n) [Eng.] radio telescope.
