English,Mon,Original_Definition
S. ferox l. or variety of s. melongena,ခ္ဍောၚ်တာ,"(v) large variety of eggplant, S. ferox L. or variety of S. melongena."
S. ferox l. or variety of s. melongena.    ခ္ဍောၚ်ဗ္စး  tomato,ခဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခ္ဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
S. ferox l. or variety of s. melongena.    ခ္ဍောၚ်ဗ္စး  tomato,ခ္ဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
S. torvum swartz.  ခ္ဍောၚ်ခစး။,ခ္ဍောၚ်ဗ္စး,"(n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။"
S. torvum swartz.  ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ်  eyeball,ခဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခ္ဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
S. torvum swartz.  ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ်  eyeball,ခ္ဍောၚ်,"3 (n) aubergine, eggplant, {Am} brinjal, Salanm melongena L. [id] ခဍောၚ်။    တၞံခ္ဍောၚ် (n) eggplant.    ခ္ဍောၚ်စိၚ် (n) large eggplant.    ခ္ဍောၚ်ဇိုၚ်ကၠဵု(ဝ်) (v) wild tomato, Lycopersicum esculentum wallich.    ခ္ဍောၚ်တာ (v) large variety of eggplant, S. ferox L. or variety of S. melongena.    ခ္ဍောၚ်ဗ္စး (n) tomato, S. torvum Swartz. [id] ခ္ဍောၚ်ခစး။    ခ္ဍောၚ်မတ် (n) eyeball."
Sabbath,တၚဲ,"တ္ၚဲသဳ (n) Sabbath, Sabbath Day."
Sabbath,တ္ၚဲသဳ,"(n) Sabbath, Buddhist Sabbath, an uposatha day."
Sabbath,ဥပေါသထ,"(n) duty, Sabbath."
Sabbath,ဥပှော်,"(n) duty, sabbath."
Sabbath day,တၚဲ,"တ္ၚဲသဳ (n) Sabbath, Sabbath Day."
Sabodilla achras zapota,လၟုတ်,2 (n) Sabodilla Achras zapota.
Saboteur,သမၠီု,"1 (n) saboteur, subversive."
Saboteur.  မၞိဟ်ပလီုပလာ်။,မၞိဟ်ပလာပ်ပထုဲပလီုပလာ်,(n) saboteur. [id.] မၞိဟ်ပလီုပလာ်(က်)။
Saccharum,ကမတ်,"4 (n) grass, weeds, portion of food. [id] ကၟတ်၊ ကၟောတ်။    ကမတ္တရှ်(ဟ်) (n) morsels of food.    ကၟောတ်ဒဇိပ် (n) dubba grass.    ကၟောတ်ဗၞုဟ်ကံ(မ်) (n) reed saccharum Sara.    ကၟောတ်လၟာန် (n) wild rice.    ကၟောတ်သၠခိုဟ် (n) kusa grass.    ကၟောတ်ၜုန်ပြေၚ် (n) meadow grass, saccharum, Spon taneum."
Saccharum officinarum l,တၞံၜဴ,"(n) sugar-cane, Saccharum officinarum L."
Saccharum officinarum l,ၜဴ,"(n) sugar-cane, Saccharum officinarum L."
Saccharum officinarum l.  တ္ၜဴ၊ ၜဴ။    ကဝ်ၜဴ  molasses.    တၞံၜဴ  sugar-cane,က္ၜဴ,"1 (n) sugar-cane, saccharum officinarum L. [id] တ္ၜဴ၊ ၜဴ။    ကဝ်ၜဴ (n) molasses.    တၞံၜဴ (n) sugar-cane."
Saccharum officinorum l.     ကဝ်တ္ၜဴ  molasses.    တၞံတ္ၜဴ  sugar-cane,တ္ၜဴ,"1 (n) sugar-cane, saccharum officinorum L.     ကဝ်တ္ၜဴ (n) molasses.    တၞံတ္ၜဴ (n) sugar-cane."
Saccharum spontaneum,ကၟတ်ၜိုန်ပြေၚ်,"(n) meadow grass, saccharum spontaneum."
Sack,ထိုၚ်,"1 (n) bag, [esp.] Shan bag of fabric with shoulder-sling, sack, pocket.    စၟာဲထိုၚ် (v) to carry a Shan bag.    ထိုၚ်အာတရဴ (n) kit bag.    ထိုၚ်ကသဝ်ပ္ကဴ (n) anther. [id] ဂၠံကသဝ်ပ္ကဴ။    ထိုၚ်ကောန် (n) womb. [id] သ္ၚိကောန်၊ ဂဝ်၊ ဂဝ်မိ၊ ဂၠံဂဝ်၊ ဂၠံဂဝ်မိ၊ ထ္ကေၚ်။"
Sack,ရိုက်,"3 (n) sack, bag. [Cf.] ထိုၚ်။"
Sackcloth.  ယာတ်ကၠီုဒလီု။,ယာတ်သွက်ဂွံဇိၚ်ထိုၚ်,(n) sackcloth. [id.] ယာတ်ကၠီုဒလီု(မ်)။
Sackcloth. ယာတ်ကၠီဒလိုန်။,ယာတ်ကၠီုဒလီု,(n) sackcloth. ယာတ်ကၠီဒလိုန်။
Sacred being or thing,ကျာ်,"(n) sacred being or thing, Buddha, pagoda, image of Buddha, term of address terminating all utterances directed to monks when no other such term is included, and as isolate inticating assent, (Siam) general respectful term of address and assent."
Sacred book,အဂီု,"(n) [P. agomo] fable, short tale, sacred book, scriptures, doctrine, old wives tale."
Sacred flag-staff.  ဒယိုၚ်ဇၞောဝ်။,ဒယိုၚ်ဇၞောဝ်,"(n) flag pole, post with figure of brahminy duck on top, used to support prayer-flag, sacred flag-staff. [Cf.] ဒယိုၚ်ဇၞောဝ်။"
Sacred ground,တိဝတ္တက,"(n) land donated for religious purposes, sacred ground, glebe land."
Sacred language of buddhism.  ပလိ၊ ပါလိ။,ပါဠိ,"(n) [P.] Pali, sacred language of Buddhism. [id] ပလိ၊ ပါလိ။"
Sacred relic,ဓါတ်,"(n) [P. / Skt. dhatu] element, constituent part of the body, humour, primary substance, sacred relic, power produced by electricity or internal combustion engine."
Sacred thread,ပရိုတ်,"ဇုက်ပရိုတ် (n) sacred thread, charmed cord."
Sacred thread held by monks in this ritual and by participants in other ceremonies,ပရိုတ်,"(n) [P. paritta] [Recitation] Sutta to ward off evil or harm, consecrated cord, paritta invocation, recited by monks to avert evil influences from and pnterprise, sacred thread held by monks in this ritual and by participants in other ceremonies, amulet."
Sacred thread used in paritta invocation and other ceremonies,ဇုက်ပရိုတ်,"(n) charmed cord, sacred thread used in paritta invocation and other ceremonies."
Sacred whorl appearing on the forehead of the buddha,ဗြ,"(n) ဗြကၞေၚ် (n) fillet round hair, hairline of Buddha image, crown, sacred whorl appearing on the forehead of the Buddha, be jewelled frontlet which forms part of the royal regalia."
Sacredness,ဒဒှ်မစွံဒၞာဲဌာန်အဲပရဲ,(n) sacredness.
Sacredness,လကျာ်,"ကဵုလကျာ်တံပေါန်မၞးတံဟာ (n) will your reverences refresh yourselves? [Cf.] ကျာ်(က်)၊ တၠ (n) lord, တၠဂုန်။ [Der.] ကျာ်(က်) (n) sacredness."
Sacrifice,ယတ်,"(n) [Skt. Yajna] sacrifice, sacrificial offerings. [id.] ယဇ်။"
Sacrifice self-interest,သၠးဖဵုဇကု,"(v) (adj) selflessly, sacrifice self-interest."
Sacrificial,မဆေၚ်စပ်ကဵုဒဒှ်မပူဇဴယဇ်,(adj) sacrificial.
Sacrificial alter,ပၞၚ်ယတ်,"(n) an altar for sacrifices, sacrificial alter."
