English,Mon,Original_Definition
T adorn the flowers on the head,ကဝေ,ကဝေကဴ (v) t adorn the flowers on the head.
T adorn the flowers on the head,ကဝေကဴ,(v) t adorn the flowers on the head.
T be old,ကရေမ်,"ကရေံ(မ်) (v) t be old, worn, soiled. [id] တြေံ(မ်)။"
T fear,ဗမ္ၚံက်သမ္ၚာတ်,"(v) to be serious, t fear."
T put round lower half of body,ဗိုက်,ကွိၚ်ဗိုက် (v) t put round lower half of body.
T rot,အုဲအေၚ်,"(v) t rot, become corrupt. Decay, be rotten. [id] အုဲအာဲ။"
Tabby cat,ဗဂဲ,ဗ္ဂဲကၠ (n) tabby cat.
Tabby cat,ဗဂဲ,"ဗ္ဂဲၝောံ(အ်) (n) she-cat, tabby cat."
Table,ခုၚ်,"(n) flat-topped movable article of furniture, table, bench, chair stand."
Table,လဗော်,"(n) table, dining table with short legs, round, which diners set on mats. [id.] လ္ဗော်(က်)၊ လ္ဗံက်။"
Table,အၚ်,"3 (n) table, tabulation, [esp.] in almanacs.   အၚ်ယန် (n) magic square, used as protective charm.   ဖျေံအၚ်ယန် (v) to draw up a magic square. [Cf.] စရၚ် (n) [P. anka] sign, brand."
Table a motion,ပ္တိုန်လဟီု,"(v) put up a proposal, table a motion."
Table cloth,ခုၚ်,ယာတ်လးခုၚ် (n) table cloth.
Table cloth,ယာတ်လးခုၚ်,(n) table cloth.
Table cloth.  ခုၚ်စပုၚ်။,ခဗံက်,ယာတ်လးဂဗံက် (n) table cloth. [Cf.] ခုၚ်စပုၚ်။
Table cloth.  ယာတ်လးဂဗံက်။,ယာတ်လးလ္ဗံက်,(n) table cloth. [id.] ယာတ်လးဂဗံက်။
Table fork,ခစိုမ်,"ခစီုစပုၚ် (n) fork, table fork."
Table fork,ခစီု,"ခစီုစပုၚ် (n) fork, table fork."
Table fork,ခစီုစပုၚ်,"(n) fork, table fork."
Table laid with food,ခဗံက်,ဂဗံက်ပုၚ် (n) table laid with food.
Table laid with food,လ္ဗံက်ပုၚ်,(n) table laid with food.
Table land.  ဂၠးတိ၊ လမၠးကုန်ဒဵု၊ လမၠးတိဒဵု။,စရုဲ,2 (n) table land. [id] ဂၠးတိ၊ လမၠးကုန်ဒဵု၊ လမၠးတိဒဵု။
Table linen,ယာတ်ကာန်လးဂဗံက်,(n) table linen.
Table of contents.  ပိုတ်တၞံ။,ပိုတ်တံ,"ပိုတ်တမ် (n) heading outline, table of contents. [id] ပိုတ်တၞံ(မ်)။"
Table of contents.  ပိုတ်တၞံ။,ပိုတ်တမ်,"(n) heading outline, table of contents. [id] ပိုတ်တၞံ(မ်)။"
Table servant,နိဟ်,"မၞိဟ်ပလေဝ်လ္ဗံက် (n) table servant, waiter."
Table servant,မၞိဟ်ပလေဝ်ဂပံက်,"(n) table servant, waiter."
Table tennis,ပိန်ပံၚ်,"(n) [Eng.] ping-pong, table tennis."
Table.  ဂဗံက်။,ခုၚ်စပုၚ်,"(n) dinner table, table. [Cf.] ဂဗံက်။"
Tableau,ရုပ်ဂမ္စိုတ်,"(n) still picture, tableau."
Tablecloth,လဗော်,ယာတ်လးလ္ဗံက် (n) tablecloth.
Tableland,ဒၠးတိ,(n) tableland.
Tablespoon.  ဇန်မရပ်စပ်စကာပ္ဍဲလ္ဗံက်။,ဇန်စပုၚ်,"(n) dessertspoon, tablespoon. [id] ဇန်မရပ်စပ်စကာပ္ဍဲလ္ဗံက်။"
Tablet,ဂဥုဲပလုဲ,"(n) tablet, tabloid."
Tabloid,ဂဥုဲပလုဲ,"(n) tablet, tabloid."
Tabulate,စဳဇန်ပ္တိုန်ထ္ၜးနကဵုစရၚ်အၚ်,(v) tabulate.
Tabulated statement,စရၚ်အၚ်,"(n) tabulated statement, statistics."
Tabulation,ကရၚ်,"2 (n) account, tabulation, inventory, manifest, list. [id] စရၚ်။    ရပ်စရၚ် (v) to keep accounts. [Cf.] အၚ်။    စရၚ်အခိၚ် (n) time table.    စရၚ်ဗၞိက် (n) invoice.    စရၚ်သြန် (n) bill."
Tabulation,စရၚ်,"1 (n) account, tabulation, list, register."
Tabulation,အၚ်,"3 (n) table, tabulation, [esp.] in almanacs.   အၚ်ယန် (n) magic square, used as protective charm.   ဖျေံအၚ်ယန် (v) to draw up a magic square. [Cf.] စရၚ် (n) [P. anka] sign, brand."
Taciturn,ဍိတ်,"2 (v) be silent, to be silent, taciturn, to be motionless. [id] မကၞပ်၊ မကၞပ်သ္ၚီ၊ မကၞပ်သ္ၚောံ(မ်)၊ ဟွံမွဲကဵုရမျှာၚ်မြုမြန်၊ မညိၚ်ဝတ်။    မံၚ်ဍိတ် (v) sit quiet. [id] မံၚ်ဍိတ်ဍိတ်။ [Cf.] ကၞပ်၊ သ္ၚိတ်။    [Der.] သ္ၚိတ် (n) immobility.    ထ္ဍိတ် (v) to hold steady."
Taciturnity,ဒဒှ်မနွံကဵုအရေဝ်အခြာအောန်တဴဗွဲမလောန်,(n) taciturnity.
Tack,ဇန်,"3 (v) to string together, skewer, compose, tack, make a running stitch.    ဆန်ဇန် (v) versify. [Cf.] ဆန်။    ဇန် (v) to string beads.    ဇၟန် (n) garland."
Tacking.  တၞောတ်ဇိၚ်။,တၞောတ်,"2 (v) running-stitch, tacking. [id] တၞောတ်ဇိၚ်။"
Tactfully,နဒဒှ်မယဵုဒုၚ်လေပ်ဗွဲမသ္ဍိုဟ်ကေက်ပ္ဍဲအရာမသောၚ်တၟးဟီုဂးဆက်ဆောံ,(adv) tactfully.
Tactfully.  မယဵုဒုၚ်ကာလေပ်ဗွဲမသ္ဍိုဟ်ကေက် ပ္ဍဲအရာမသောၚ်တၠးဆက်ဆောံဟီုဂး။,မယဵုဒုၚ်ကာလေပ်ဗွမသ္ကေက်သ္ကာ,(adj) tactfully. [id] မယဵုဒုၚ်ကာလေပ်ဗွဲမသ္ဍိုဟ်ကေက် ပ္ဍဲအရာမသောၚ်တၠးဆက်ဆောံဟီုဂး။
Tactical,မဆေၚ်စပ်ကဵုနဲကဲဗျူဟပၞာန်,(adj) tactical.
Tactical   မၞိဟ်မစိုန်သ္ကီုပ္ဍဲအရာပြယာဲပၞာန်၊  နဲကဲပြယာဲပၞာန်။,tactics,"n.  ဒွန်၊  ကွတ်ပရေၚ်ပြေၚ်တိုန်စှ်ေပၞာန်,ပြယာဲပၞာန်၊  အစဳအဇန်သွက်ဂွံအံၚ်ဇၞးဖျေံစွံလဝ်တၚ်ရန်တၟံ၊  နဲကဲ.....နဲဗျူဟ။  tactical (adj0  မဆေၚ်စပ်ကဵုနဲကဲဗျူဟပၞာန်။  tactician (n)  မၞိဟ်မစိုန်သ္ကီုပ္ဍဲအရာပြယာဲပၞာန်၊  နဲကဲပြယာဲပၞာန်။"
Tactician.  နဲကဲပြယာဲပၞာန်။,မၞိဟ်မစိုန်သ္ကီုပ္ဍဲအရာပြယာဲပၞာန်,(n) tactician. [id.] နဲကဲပြယာဲပၞာန်။
Tactics,ဂွန်,"(n) power, measures, means, dominion, tactics, maneuvers."
Tactics,ဒွန်,"(n) power, measures, means, dominion, tactics, manoeuvres."
Tactics,နဲပြယာဲ,"(n) tactics, modus operandi mode or method of operation."
Tactics ,နဲဗျူဟ,"(n) tactics {in war, politics, etc.}."
Tactility,ဖောဋ္ဌဗ္ဗာရီု,"(n) [P.] sese of touch, tactility."
Tactless,မအောန်အပ္ဍဲအရာမသ္ဍိုဟ်ကေက် ဒၞာဲမသောၚ်တလးဆက်ဆောံဟီုဂး,(adj) tactless.
Tactlessly,နဒဒှ်မအောန်ပ္ဍဲအရာသ္ဍိုဟ်ကေက်ဒၞာဲမသောၚ်တလးဟီုဂးဆက်ဆောံ,(adv) tactlessly.
