English,Mon,Original_Definition
U,သွဵု,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
U,သွိုဝ်,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
U-boat,ယူဗတ်,"(n) [Eng.] U-boat, German Submarine."
Ubiquity,ဒဒှ်မနွံဒၟံၚ်ပ္ဍဲဒၞာဲပြးပြးဇးဇးမွဲအခိၚ်ဓဝ်,(n) ubiquity.
Udder,သ္ၚိတှ်,"(n) udder, breast of a female."
Udder.    ကောန်ၚာ်ဗျဵုမံၚ်တှ်  baby is hungry.    ကောန်လ္တူတှ်  second younget child.    က္ဍိုပ်တှ်  nipple.    ကၠေၚ်တှ်  condensed mile.    ဍာ်တှ်  milk.    ဍာ်တှ်ကလောံ  cheese.    ထပိုတ်တှ်  to wean.    ဗၟဴတှ်  to suckle.    မဴတှ်  to suck at the breast.    သ္ၚိတှ်  udders.  ပလံတှ်။ .     ဣတှ်  grandmother,တှ်,"1 တဟ် (n) breast, udder.    ကောန်ၚာ်ဗျဵုမံၚ်တှ် (v) baby is hungry.    ကောန်လ္တူတှ် (n) second younget child.    က္ဍိုပ်တှ် (n) nipple.    ကၠေၚ်တှ် (n) condensed mile.    ဍာ်တှ် (v) milk.    ဍာ်တှ်ကလောံ(အ်) (n) cheese.    ထပိုတ်တှ် (v) to wean.    ဗၟဴတှ် (v) to suckle.    မဴတှ် (v) to suck at the breast.    သ္ၚိတှ် (n) udders. [Cf.] ပလံတှ်။ [id].    [Der.] ဣတှ် (n) grandmother."
Udder.  ကမၠံတှ်၊ က္ဍိုပ်တှ်။,ကမၠံ,"ကမၠံ(မ်) (n) nipple, pap, udder. [id] ကမၠံတှ်(ဟ်)၊ က္ဍိုပ်တှ်(ဟ်)။"
Ulcer,ခရ,"2 (n) discharging lesion, sore, ulcer, burn scald. [id] သရ။    ယဲသရ (n) ulcer.    [Der.] သ (v) to ulcerate."
Ulcer,ယဲသရ,"(n) ulcer, ulceration."
Ulcer,သရ,"1 (n) discharging lesion, sore, ulcer, burn, scald.    ယဲသရ (n) ulcer. [Var.] ခရ၊ ပၞေတ်၊ သရသရေန်၊ သြ။"
Ulcer,သြ,"1 (n) sore, discharging lesion, ulcer, burn scald.    ယဲသြ (n) ulcer."
Ulcer ,အလုက်,"(n) boil, ulcer {above the waist}."
Ulcerate,သ,"3 (v) to have the skin broken, ulcerate, develop sores, to be injured.    ဇိုၚ်အဲသအာ (v) I have got a sore on my leg.    တၟာသၞေံတဲသအာၝချိုတ် (v) if so much as one of his finger nails is hurt you should die.    လ္ပကဵုဂွံသသေန် (v) see that he comes to  no harm. [Cf.] ကၞံ(အ်)။    [Der.] သရ (n) sore. [id.] သရသရေန်။"
Ulcerate,သြ,"2 (v) to break {up} the surface of, to have the skin broken, ulcerate, develop sores, to be injured.    ဇိုၚ်အဲသြအာ (v) I have got a sore on my leg.    တၟာသၞေံတဲသြအာၝချိုတ် (n) if so much as one of his finger-nails is hurt you should die.    လ္ပကဵုဂွံသြသြေန် (n) see that he comes to no harm. [Cf.] တၞံ(အ်)။    [Der.] သရ (n) sore.    သ (v) to break the surface of."
Ulcerate.  ဒှ်သရသရေန်၊ သ္ကဵုဒှ်ပ္တိုဟ်။,သ္ကဵုဒှ်သရသရေန်,(v) ulcerate. [id.] ဒှ်သရသရေန်၊ သ္ကဵုဒှ်ပ္တိုဟ်။
Ulceration,ယဲသရ,"(n) ulcer, ulceration."
Ulceration.  ယဲသရ။,ယဲသြ,"(n) sore, ill and sore, ulceration. [id.] ယဲသရ။"
Ulnar side of the hand,ကွိုတ်တဲ,"(n) edge of the palm, ulnar side of the hand."
Ult. from persain firingi,ဗြေန်ဂျေဝ်,"(n) Roman Catholic, this name is heard by only in Burmese. “Portuguese, Roman Catholic,” ult. From Persain firingi, frangi."
Ultimate,ပရမတ်,"(n) inviolable nature, ultimate, reality, absolute truth of ပညပ်။"
Ultimately.  ဗွဲဒတုဲ။,ဗွဲကြဴအိုတ်,(adv) ultimately. [id] ဗွဲဒတုဲ။
Umbilical cord,တဝ်သုက်,"(n) umbilical cord, navel cord."
Umbilical hernia,ယဲအၚ်,"(n) umbilical hernia, rupture in children."
Umbilical hernia. ,အၚ်,6 (n) ယဲအၚ် (n) umbilical hernia. {umbilical. adj. မဆေၚ်စပ်ကဵုပေါၚ်လိုတ်}.
Umbilicus.  ပေါၚ်လိုတ်။,တၠိုတ်,"(n) naval, umbilicus. [id] ပေါၚ်လိုတ်။"
Umbrella,က္ဍိုၚ်,"1 (n) umbrella, formalized royal umbrella crected over pagoda. [Bur] hti.    ဒလဝ်က္ဍိုၚ် (v) to put out, use, an umbrella."
