English,Mon,Original_Definition
V-shaped roof,ပါၚ်တရၚ်ပ္ၚပ်,"(n) door hinges, V-shaped roof."
V.   သ္ပကဵုမ္ၚဵုဗလိုက်ဍာ်,baptize,"v. (esp  passive)  သ္ပကဵုမ္ၚဵုဗလိုက်ဍာ်,မ္ၚဵုလၟုဟ်ဍာ်ခရေတ်။  She was baptized Mary."
V. ဇျှဲ၊ ဇျှဲသၠေံကော်၊  ဖ္တိုက်ဖအောဝ်ပၠာံဗ္ဇး၊  လှေံလှန်။  ၂။  သကဵုပတှ်ေ။  persuasion   ဒဒှ်မသၠေံသၠန်ကော်္ၚဲ၊  ဖအောဝ်၊  သၠေံပၠာံဗ္ဇး။  ၂။  ပွမပတှ်ေ။  persuasive   မ္ၚဲသၠေံသၠန်မာန်။  ၂။  မသကဵုပတှ်ေစှ်ေစိုတ်မာန်။,persuade,v. ဇျှဲ၊ ဇျှဲသၠေံကော်၊  ဖ္တိုက်ဖအောဝ်ပၠာံဗ္ဇး၊  လှေံလှန်။  ၂။  သကဵုပတှ်ေ။  persuasion (n)  ဒဒှ်မသၠေံသၠန်ကော်္ၚဲ၊  ဖအောဝ်၊  သၠေံပၠာံဗ္ဇး။  ၂။  ပွမပတှ်ေ။  persuasive (adj)  မ္ၚဲသၠေံသၠန်မာန်။  ၂။  မသကဵုပတှ်ေစှ်ေစိုတ်မာန်။
V.a. to know how to,လေပ်,"1 (v) to be versed in, to be skilled in, to understand, to be accustomed to.    ညးလေပ်အရေဝ်သေံ(မ်) (v) he speaks Siamese. As, v.a. To know how to, to have learned to, be capable of through training, to be want to.    အဲဟီုဟွံလေပ်ခိုဟ်ခိုဟ် (v) I can not speak it very well.    ကလော်ဘမၞိဟ်လေပ် (v) spirits are given to frightening people.    ပြိပ်ဂှ်လေပ်တုဲ(ယ်) (v) when the squirrel had learnt to do this.    ဗြဴဂွဟွံလေပ်ဂှ်(ဟ်) (v) a woman not given to shyness.    မၞိဟ်တြုံယဵုဟွံလေပ်ပုဟ် (v) men do not usually carry things on their heads.     {သီု(မ်)} လေပ်ဟွံမာန် (v) willy-nilly.    ၜိၚ်ဍာ်လေပ်ဟာ (v) can you swim? [Cf.] (va) ဂွံ(အ်)၊ မာန်။    လေပ်ဟွံမာန်ဣနုသ္ဒးၜိုဟ်ဂတာံထဝ်ဂှ်ရ (v) I'nao had willy-nilly to boil the golden crab."
Va,ထေက်,"ယာတ်ဏံစှ်ဟွံထေက် (v) this piece of cloth is not worth ten rupees. As, va., ought."
Vacancy,ဒၞာဲသလး,"(n) vacancy, empty place. [id] ဒၞာဲသၠး၊ ဒၞာဲသၠးသၠး၊ ဒၞာဲသၠးဒၟံၚ်၊ ဒၞာဲမဗၠးဒၟံၚ်၊ ဒဒှ်မသရုၚ်ခၠန်ဒၟံၚ်၊ ဒဒှ်ဒၞာဲကမၠောန်မသၠးဒၟံၚ်။"
Vacant land,တိသမၠး,"(n) vacant land, fallow land, uncultivated land."
Vacant.  သလး၊ သၠး။,ခလး,"(v) to be free, unoccupied, free from obstruction, to free, to give up, yield, give birth, to be at leisured, to have leisure, to be empty, vacant. [id] သလး၊ သၠး။"
Vacantly,နဒဒှ်မသၠးဒၟံၚ်,(adv) vacantly.
Vaccinate,ဂပက်,"ဂပက်ဂဥုဲစဵုဒၞာ (v) inoculate, vaccinate."
Vaccination,ဒဒှ်မထ္ပက်ဂဥုဲသွက်ဂွံစဵုဒၞာ,(n) vaccination.
Vaccine,ဂဥုဲစဵုဒၞာ,"(n) vaccine, preventive medicine, prophylactic. [id] ဂဥုဲမြန်။"
Vaccine for immunigation against tuberculosis,ဗဳသဳဂျဳ,"(n) {Eng.} B.C.G {Bacillus Calmette Guerin}, vaccine for immunigation against tuberculosis."
Vaccine.  ဂဥုဲထ္ပက်။,ဂဥုဲထပက်,(n) vaccine. [id] ဂဥုဲထ္ပက်။
Vaccum flask.    ပလၚ်ဍာ်ဂမ္တဴ  thermos flask.    ပလၚ်မှၚ်  ink pot,ပလၚ်,"1 (n) bottle.    ပလၚ်ကာ (n) water vessel with a spout used by ascetics. [id] ဍာ်ပလၚ်ကာ။    ပလၚ်ကာဍာ်ဂမ္တဴ (n) vacuum bottle, vaccum flask.    ပလၚ်ဍာ်ဂမ္တဴ (n) thermos flask.    ပလၚ်မှၚ် (n) ink pot."
Vacillate,ဘိၚ်ဘၚ်,"(v) be in a daze or stupor, be indecisive, waver, vacillate, be unconscious."
Vacillation.  ဒဒှ်မဟွံကၠဳကၠး။,ဒဒှ်မဝိဝိၚ်,(n) vacillation. [id] ဒဒှ်မဟွံကၠဳကၠး။
Vacuum,တွဵုအမှဲ,(n) vacuum.
Vacuum flask,ဗူဍာ်,"(n) thermos flask, vacuum flask."
Vacuum.  ပွဳပွူဗလာ။,ဒၞာဲနေဝ်ဗလာ,(n) vacuum. [id] ပွဳပွူဗလာ။
Vadic lore,ဗေဒၚ်,"(n) vadic lore, astrology. [Cf] ဗိုတ်။"
Vagabond,မၞိဟ်ကပှ်ကလှ်,"(n) vagrant, vagabond."
Vagga.    ဝဂ္ဂ   ဝက်လိက်  section of literary work.  ကၞပ်လိက်၊ ဝက်လိက်ပတ်။  ကၞပ်။  ဇုက်။,ဝက်,"1 (n) division of palm leaf book consisting of twelve leaves numbered by one of the consonants with the twelve vowels, as က၊ ကာ၊ ကိ၊ ကဳ၊ ကု၊ ကူ၊ etc., section of literary work usually of two ဇေန် with two cover leaves and irrespective of canonical division of Pali text, vagga.    ဝဂ္ဂ (n) [P. vagga] ဝက်လိက် (n) section of literary work. [id.] ကၞပ်လိက်၊ ဝက်လိက်ပတ်။ [Cf.] ကၞပ်။ [Syn.] ဇုက်။"
Vagina,ယောနိ,"(n) [P.] conception, pregnancy, vagina."
Vagrancy.  ဒဒှ်မကလှ်လပှ်။,ဒဒှ်မဟိုတ်တၟာဲ,(n) vagrancy. [id] ဒဒှ်မကလှ်လပှ်။
Vagrant,မၞိဟ်ကပှ်ကလှ်,"(n) vagrant, vagabond."
Vagrant mendicant,ဂရၚ်စ,ရဲဂရၚ်စ (v) vagrant mendicant.
Vagrant mendicant.  ရဲလအာတ်။,ရဲဂရၚ်စ,(n) vagrant mendicant. [Cf.] ရဲလအာတ်။
Vaguely,ဒဗုၚ်ဒဗုၚ်,"(adv) hazy, dim, misty, hazily, dimly, faintly, vaguely, indistinctly."
Vaguely,ဟွံသောၚ်ကၠး,"(adv) vaguely, uncertainly. [id.] ဟွံကၠဳကၠး၊ ဟွံကၠးဖ္ဍး။"
Vaguely.  နဒဒှ်မဟွံသောၚ်ကၠး၊ နဒဒှ်မဟွံကၠီကၠး။,နဒဒှ်မဟွံချိုတ်ပၠိုတ်,(adv) vaguely. [id] နဒဒှ်မဟွံသောၚ်ကၠး၊ နဒဒှ်မဟွံကၠီကၠး။
Vagueness.  ဒဒှ်မဟွံကၠဳကၠး၊ ဒဒှ်မဟွံသောၚ်ကၠး။,ဒဒှ်မဟွံချိုတ်ပၠိုတ်,(n) vagueness. [id] ဒဒှ်မဟွံကၠဳကၠး၊ ဒဒှ်မဟွံသောၚ်ကၠး။
Vaia rlana,ဗဳသြဴ,"(n) {Skt. Vais rarana} Vaia rlana, lord of the yakshas. [id] သၟိၚ်ဗဳသြဴ။"
Vain,လ္ပံသာ,"(adj) light empty, vain, foolish."
Vain,သက္ကုဖဵု,"(adj) vain, useless, foolish."
Vain,ဟဳဂပဝ်ဂၠိုက်,"(v) to be puffed, vain."
Vain glory.  ဒဒှ်ဇိုၚ်မဟွံဒးကၞဳ၊ ဒဒှ်အခါတ်ဂၠိက်ဗၠေတ်ဒၟံၚ်ကဵုသ္ကေတ်။,ဒဒှ်ဇကုဓဝ်ဟေၚ်စိုတ်ဘဝၚ်သၠုၚ်ဒၟံၚ်,(n) vain glory. [id] ဒဒှ်ဇိုၚ်မဟွံဒးကၞဳ၊ ဒဒှ်အခါတ်ဂၠိက်ဗၠေတ်ဒၟံၚ်ကဵုသ္ကေတ်။
Vainglorios.  မခါတ်ဂၠိက်ဗၠေတ်ဒၟံၚ်ကဵုသ္ကေတ်။,မဒှ်သဒှ်ဇိုၚ်မဗၠးဒၟံၚ်ကဵုကၞဳ,(adj) vainglorios. [id] မခါတ်ဂၠိက်ဗၠေတ်ဒၟံၚ်ကဵုသ္ကေတ်။
Vainly.  နဒဒှ်မကြီုဇာ၊ နဒဒှ်မဒှ်သၟးသၟး။,နဒဒှ်မသ္ၜိုန်,(adv) vainly. [id] နဒဒှ်မကြီုဇာ၊ နဒဒှ်မဒှ်သၟးသၟး။
Vaisya,ညးလွေဟ်,"(n) Vaisya, person of the third class. [id] လွေဟ်၊ ညးဗၞိက်"
Vajina,ပဿာဝမဂ်ဗြဴ,(n) vajina.
Valerian,ကမ္မရူ,"(n) variety of Crinum with fragrant bulb, valerian, allheal valeriana hardweckii."
Validate.  သ္ကဵုလုပ်စှ်ေကဵုဗဗွဲဓဝ်။,သ္ကဵုဗိုန်ဗတ်ခိုၚ်ကၠိုက်,(v) validate. [id.] သ္ကဵုလုပ်စှ်ေကဵုဗဗွဲဓဝ်။
