English,Mon,Original_Definition
Wa,ဝ,"2 (n) Wa, Lawa, pagan hill man practising slash-and-burn cultivation, a race of northern Burma and Siam formerly noted head hunters. They are closed by Mon writers, with the Karens as a people of more rudimentary culture, name of one of the Mon-Khmer language and its speakers found mainly in areas east of the Salween river in the Shan State.    ကရေၚ်ဝ (n) Karens and Wa."
Wadding,ကပေါတ်မဍိုန်ဍောတ်သာက္ဍာ,ကပေါတ်မဍိုန်ဍောတ်သာက္ဍာ မစုတ်စအပ္ဍဲဓုပ်ဂွဳကပေါတ် (n) wadding.
Wade.  လုဲ။,လၟုဲ,(v) wade. [Cf.] လုဲ(ယ်)။
Wade.  လုဲ။,လၟုယ်,(v) wade. [Cf.] လုဲ(ယ်)။
Waft abroad,မောဝ်လၟာဲအာ,(v) waft abroad.
Wafted.    ပြးဇး  to be scattered about.    သၟူဇးအာပ္ဍဲကၠံ  the scent was wafted over the garden.  ခတေၚ်၊ ခ္ဍာဲ၊ ချာဲ၊ ဇာန်၊ ပြး။     ဗ္ဇး  to diffuse,ဇး,"1 (v) to be diffused, wafted.    ပြးဇး (v) to be scattered about.    သၟူဇးအာပ္ဍဲကၠံ(အ်) (v) the scent was wafted over the garden. [Cf.] ခတေၚ်၊ ခ္ဍာဲ၊ ချာဲ၊ ဇာန်၊ ပြး။    [Der.] ဗ္ဇး (v) to diffuse."
Wag,ဂဝိုက်,"(v) to wave, wag, shake, worry. [id] လွိုက်။"
Wag,ဗွိုက်,"3 (v) to wave, wag, shake, worry.   ကၠဵုဗွိုက်ဗ္တ (v) the dog wagged its tail.    ကၠဵုဗွိုက်မံၚ်ကၞိ (v) the dog was worring a rat. [Cf.] ဂရု၊ ဂရိုက်၊ ဂဝိုက်၊ ပချဳ၊ ပိုက်၊ လယှ်၊ လရု။"
Wag,မၞိဟ်ဓၟက်,(n) wag.
Wag-tail,ဂစေံအပြံက်,"(n) magpie-robin, wag-tail."
Wager.    အဲလံၚ်မွဲဒ္ကေဝ်  i will have a rupee on it.    ထပ်လံၚ်  to add to.    ဒွံလံၚ်  wager,လံၚ်,"1 (v) to put in, to put into, to add to, to stake, wager.    အဲလံၚ်မွဲဒ္ကေဝ် (v) I will have a rupee on it.    ထပ်လံၚ် (v) to add to.    ဒွံလံၚ် (v) wager, to wager. [Cf.] စုတ်၊ ထပ်၊ ဒွံ(အ်)၊ ပံၚ်။ [opp.] နုက်။"
Wager.  ဒွံလံၚ်၊ ဂွံ။,ဒွံ,2 (n) wager. [id] ဒွံလံၚ်၊ ဂွံ(အ်)။
Wager.  ဒွံ၊ ဂွံလံၚ်။,ဂွံ,2 (n) wager. [id] ဒွံ(အ်)၊ ဂွံလံၚ်။
Wages,ၚုဟ်လိၚ်,"(n) hire, wages, pay, rent, lend, loan, borrow, fees charges, emoluments."
Wages,စရိတ်ၚုဟ်လိၚ်,"(n) wages, fee."
Wages,လိၚ်ခၟာန်,"(n) hire, wages."
