English,Mon,Original_Definition
X-ray,ဗီုဓာတ်,(n) X-ray.
Xanthophyllum flavescens roxburgh and glauca wallich,သောစန်,"(n) a kind of tree, Xanthophyllum flavescens Roxburgh and glauca Wallich."
Xen or hynchus asiaticus asiaticus latham,ဒိုၚ်ဂလာ,"(n) black-necked stork, Xen or hynchus asiaticus asiaticus Latham, the jabiru."
Xenon {gas],ဇြဳနန်,(n) [Eng.] xenon {gas].
Xenopterus naritus richardson,ထဍော်,"(n) four-teethed sea porcupine, Xenopterus naritus Richardson, porcupine fish. [id] ထ္ဍော်။ [Var.] ဍော်၊ ကဍော်၊ ခ္ဍော်။"
Xenopterus naritus richardson.  ကထဍော်။  ခဍော်။ ထဍော်။  ကထဍော်။,ကဍော်,"(n) four-toothed porcupine, sea porcupine, Xenopterus naritus Richardson. [id] ကထဍော်။ [Syn.] ခဍော်။ ထဍော်။ [Cf.] ကထဍော်။"
Xenopterus naritus richardson.  ခ္ဍော်၊ ထ္ဍော်။  ကဍော်။,ခဍော်,"(n) four toothed sea porcupine, Xenopterus naritus Richardson. [id] ခ္ဍော်(က်)၊ ထ္ဍော်(က်)။ [Var.] ကဍော်(က်)။"
Xenopterus naritus richardson.  ထ္ဍော်။  ကဍော်။,ခ္ဍော်,"(n) four toothed sea porcupine, Xenopterus naritus Richardson. [id] ထ္ဍော်(က်)။ [Var.] ကဍော်(က်)။"
Xiphoid process of the sternum,ကောန်သြိုဟ်,(n) xiphoid process of the sternum.
Xylia briformis bentham,ဆုပြာန်,"(n) ironwood tree, Xylia briformis Bentham."
Xylia dolabriformis bentham.  ဆုပြာန် ,ပြာန်,"1 (n) iron wood, Xylia dolabriformis Bentham. [id] ဆုပြာန် { the wood of this tree is valued for house posts and for fancing}."
Xylophone of slats threaded on two cords above through-shaped resonator,ဗာတ်တလာ,(n) xylophone of slats threaded on two cords above through-shaped resonator.
