English,Mon,Original_Definition
Yakkha,ယက္ခ,"(n) [P.] yakkha, super natural being. [id.] ကုမ္ဘန်၊ လကိုဟ်။"
Yak’s tail fan,ပၟိက်စၟဝ်,"(n) yak’s tail fan, yak’s tail fly-whisk {an item in the old Mon royal regalia}. [id] ပၞိက်ကၟဝ်၊ ပၞိက်စၟရ်။"
Yak’s tail fan,အံၚ်မှုဲ,(n) yak’s tail fan.
Yak’s tail fan.  စၟဝ်၊ စၟရ်၊ ပၞိက်ဓၟရ်။,စမဝ်,(n) [P.] yak’s tail fan. [id] စၟဝ်၊ စၟရ်၊ ပၞိက်ဓၟရ်။
Yak’s tail fly-whisk .  ပၞိက်ကၟဝ်၊ ပၞိက်စၟရ်။,ပၟိက်စၟဝ်,"(n) yak’s tail fan, yak’s tail fly-whisk {an item in the old Mon royal regalia}. [id] ပၞိက်ကၟဝ်၊ ပၞိက်စၟရ်။"
Yam,က္ဍိုပ်ကွာဲ,"(n) yam, potato. [id] အာလှု။"
Yam,ကွာဲ,"1 (n) yam, white yam, Dioscorea alata. [id] က္ဍိုပ်ကွာဲ(ယ်)။    တၞံကွာဲက္ၜၚ် (n) tapioca, cassava, Mani hot utilissima Pohl. [id] ပလဵုပဳနာန်၊ ကဒါတ်။ [Cf.] ခၟာဲကြဴ။"
Yama.  သၟိၚ်ယဵု ,ယီု,2 ယိုမ် (n) Yama. [id.] သၟိၚ်ယဵု(မ်) [there is more usual form].
Yama.  သၟိၚ်ယဵု ,ယိုမ်,2 (n) Yama. [id.] သၟိၚ်ယဵု(မ်) [there is more usual form].
Yard for storing logs,သၞေဟ်ဆု,"(n) yard for storing logs, timber deport. Station where timber rafted or floated down river is collected."
Yard measure,ဂေက်,2 (n) yard measure. [from Bengali]
Yard of sailing vessel,ဇဵုယာ,(n) yard of sailing vessel.
Yawning,လဟာ်,"(adv) gapingly, without hindrance, obstruction, etc. (adj) gaping, yawning, bare."
Yaws,ယဲပၞီ,(n) yaws.
Yaws.  ပၞီ၊ ယဲပၞီ။  တမၞီ၊ တၞီ။,ပနီ,(n) yaws. [id] ပၞီ(မ်)၊ ယဲပၞီ(မ်)။ [Cf.] တမၞီ(မ်)၊ တၞီ(မ်)။
Yaws.  ပၞီ၊ ယဲပၞီ။  တမၞီ၊ တၞီ။,ပနိမ်,(n) yaws. [id] ပၞီ(မ်)၊ ယဲပၞီ(မ်)။ [Cf.] တမၞီ(မ်)၊ တၞီ(မ်)။
Yaws.  ယဲတမၞီ။ a kind of leprosy,တမၞီ,"(n) yaws. [id] ယဲတမၞီ(မ်)။ a kind of leprosy, leper."
Yaws.  ယဲသရသရေန် မကၠောံသၞာန်လေပ်ပ္ဍဲဌာန်ဒေသဂမ္တဴ။,ယဲပူဏံက်,(n) yaws. [id.] ယဲသရသရေန် မကၠောံသၞာန်လေပ်ပ္ဍဲဌာန်ဒေသဂမ္တဴ။
Ye,ရေဝ်,"(n) [place-name] Rie, [Bur.] Ye."
Ye or you and cases.  object form of thou.  yours.  ကဵုမၞး။,မၞးတံ,(pers. Pron) ye or you and cases. [pron.] object form of thou. [Pron.] yours. [id.] ကဵုမၞး။
Yeang ngean,ယၚ်ၚ္ၚိန်,(n) {place-name} Yeang Ngean. [Bur. Yinnyein]
Year,သက္ကရာတ်,"(n) era, epoch, date, year, calendar era, esp. that commonly used in Burma. [id.] သက္ကရာဇ်။"
Year,သၞာံ,(n) year.
Year,အခါ,"(n) time, season, continuing time, time when, year, duration, period, moment, frequency."
Year based of the buddhist era ,သၞာံသာသနာ,(n) year based of the Buddhist Era {reckoned from the time Lord Buddha attained Nirvana in 544 Bc.}.
Year before last.  သၞာံတေံ၊ သၞာံတုဲကၠုၚ်တေ။,သၞာံအာတေံ,(n) year before last. [id.] သၞာံတေံ(အ်)၊ သၞာံတုဲကၠုၚ်တေ(အ်)။
Year before the last year,သၞာံမွဲတေံ,(n) year before the last year.
Year of a monarch’s reign,အာယုက်စသိုၚ်နန်,"(n) year of a monarch’s reign, time during which a king reigns."
Yearling,ကောန်သတ်တိရစ္ဆာန်မဂွံမွဲအခါပြၚ်,(n) yearling.
Yearn,စၟဳမၚ်,"(v) long for, yearn, hope."
Yearn for,ဗှ်သၞာ,"(v) long for, yearn for, pine for, miss, sick for, to call to, to mind, remember with affection, think of."
Yearning.  ဒဒှ်မနွံဆန္ဒဗွဲမသ္ကာတ်မြဟ်။,ဒဒှ်မဂွံသ္တိစၟဳဒၟံၚ်,(n) yearning. [id] ဒဒှ်မနွံဆန္ဒဗွဲမသ္ကာတ်မြဟ်။
Yearningly,နဒဒှ်မနွံကဵုပၟိက်ဆန္ဒဗွဲမသ္ကာတ်မြဟ်,(adv) yearningly.
Yeast,ကွဲ,"(n) yeast, leaven. [id] မဂဥုဲ(ယ်)။"
Yellow banded.  ဇြုံခွက်။,ဇြုံဇာတ်တၚ်,"(n) belted hamadryad, yellow banded. [Syn.] ဇြုံခွက်။"
Yellow bird,ဂစေံဍာ်မိတ်,"(n) oriole, mango-bird, yellow bird, grass-warbler."
Yellow colour,သာ်ဍာ်မိတ်,(n) yellow colour.
Yellow colour,သာ်မိတ်,(n) yellow colour.
Yellow colour,အရံၚ်ဍာ်မိတ်,(n) yellow colour.
Yellow dye.  ဍာ်ဗ္စိုတ်၊ ယာတ်ကာသဝ။,ဍာ်ဂဥုဲအရံၚ်ဍာ်မိတ်,(n) yellow dye. [id] ဍာ်ဗ္စိုတ်၊ ယာတ်ကာသဝ။
Yellow jedoary,မိတ်ကၠ,"(n) wild turmeric, yellow jedoary, curcuma aromatica"
Yellow myrobalan.  ဂစွံ။,သတ်ဂစွံ,(n) yellow myrobalan. [id.] ဂစွံ(အ်)။
Yellow myrobolan.  ဂစိုအ်။,ဂစွံ,"(n) chebulic myrobalan, yellow myrobolan. [id] ဂစိုအ်။"
Yellow orpiment,ရိတာ,(n) yellow orpiment.
