English,Mon,Original_Definition
E,သွဵု,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
E,သွိုဝ်,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
Each and every one,ညးညးအဲအဲ,(adv) each and every one.
Each day in the week is included in this category for three certain months in the year,ပြာပ်ဗ္ဒာ,"တ္ၚဲပြာပ်ဗ္ဒာ (n) an unpropitious or unlucky day, on such a day to undertake certain important matters would only bring disaster, each day in the week is included in this category for three certain months in the year."
Each other,ညးသ္ကံ,"(pron.) one another, each other."
Each.    ညးမွဲဂကူကဵုမွဲဂကူလ္ပပါ်ဆီညးသ္ကံညိ  do not stir up strife between one race and another.    နာဍဳမွဲ  a clock,မွဲ,"1 (n) one, 1, ၁။ a, other, only, entirety. [Siam] neg. reinforcing p.    အလုံမွဲဍုၚ်ရး (n) the whole country.    အာမွဲကရောံကဵုအဲကီုဟာ (n) will you travel with me?    အဲအာကရောံလကျာ်မွဲစွံ(အ်) (n) I am going in company with His Reverence.    ကောန်မွဲဍုၚ်မွဲတ္ကံ(အ်) (n) foreigners, strangers.    ညးမွဲ(ယ်) (n) someone, anyone, each.    ညးမွဲဂကူကဵုမွဲဂကူလ္ပပါ်ဆီညးသ္ကံညိ (n) do not stir up strife between one race and another.    နာဍဳမွဲ(ယ်) (n) a clock, one clock. [id.] နာဍဳမွဲမ၊ ပဲါနူဇကုအဲမွဲတုဲ ကဵုညးမွဲအဲဟွံသ္ပဗ္ဒာဲ(ယ်) (n) I am dependent on no one but myself alone.    မၚ်မွဲစုတ် (n) wait a moment.    ဟွံကေတ်မွဲ(ယ်) (n) he did not take any.    In some constructions:    မွဲ(ယ်) (n) functions as (v)    ဟွံမွဲ(ယ်) (n) there is none.    ပ္ဍဲအဲသြန်ဟွံမွဲ(ယ်) (n) I have no money.    ဟွံမွဲကဵု(ဝ်) (n) to be with-out.    ပရိုၚ်ဂှ်ဟွံမွဲကဵုရိုဟ်ကၞက် (n) the report is quite without foundation. [Cf.] third sense, ဆ၊ မှ။ Fourth sense, အလုံ။ Fifth sense, ဗုဟ်၊ ပုဟ်။"
Eagal-owl,ဂစေံဒူဟဳ,(n) eagal-owl.
Eager,မနွံစိုတ်ထတ်ထတ်,"(adj) eager, keen, full of interest or desire."
Eager.  be in a fury,ဆီကၞမ်,"(adj) hot-blooded, passionate, eager. (v) be in a fury, be agitated, be infuriated."
Eager.  be in a fury,ဆီကၞံ,"ဆီကၞမ် (adj) hot-blooded, passionate, eager. (v) be in a fury, be agitated, be infuriated."
