English,Mon,Original_Definition
Fable,ဂလာန်ညးတမၠာ,"(n) saying, adage, fable, proverb old saw."
Fable,အဂီု,"(n) [P. agomo] fable, short tale, sacred book, scriptures, doctrine, old wives tale."
Fabricate,ကၠောန်,"(v) to make, fabricate, work, cultivate, labour."
Fabricate,ကၠောန်ဗဒှ်,"(v) to make, to create, magically or miraculously, fabricate, concoct."
Fabricate.  ကၠောန်ဗဒှ်ကေတ်၊ ဒဒှ်ဍာံဍာံဟွံသေၚ်။,ကၠောန်ဗဒှ်တုဲပ္တိုန်ထ္ၜး,(v) fabricate. [id] ကၠောန်ဗဒှ်ကေတ်၊ ဒဒှ်ဍာံဍာံဟွံသေၚ်။
Fabrication,အမှုလီ,"(n) {law} lie, fabrication."
Fabrication.  ဂလာန်ဆန်ၜန်ကေတ်။,ဂလာန်ကၠောန်ကေတ်,(n) fabrication. [id] ဂလာန်ဆန်ၜန်ကေတ်။
Fabrication.  ပွမပ္တန်ဗဒှ်ကေတ်၊ ပွမဖန်ဗဒှ်ကေတ်။,ပွမကၠောန်ဗဒှ်ကေတ်,(n) fabrication. [id] ပွမပ္တန်ဗဒှ်ကေတ်၊ ပွမဖန်ဗဒှ်ကေတ်။
Fabulous,မဒှ်ဂလာန်မဆက်စှေ်ကၠုၚ်ကဵုနူတမၠာ,(adj) fabulous.
Fabulous creature with a main’s torso and lion’s hindquarters,မနုသဳဟ,"(n) [P.] fabulous creature with a main’s torso and lion’s hindquarters, depicted in a squatting posture on forked haunches."
Fabulous wind supposed to cut things into pieces like a razor,ကျာသ္ဇၚ်ကျာဗၞုဟ်,(n) fabulous wind supposed to cut things into pieces like a razor.
Facade,မုက်မတ်,"(n) face, expression sown on the face, countenance, visage, facade, super  facial or outward appearance."
Facade,မုက်လ္ပာ်ဂတ,"(n) facade, frontage."
Face,ဒုၚ်ဂဗတ်,"(v) resist. Defend, oppose, face, confront, dash or strike against, attack, fight against."
Face,မုက်,"2 (n) face, {in} front {of}, cutting edge, {Siam} season.    ဂတမုက်သ္ၚိ (n) in front of the house.    ဖျေၚ်မုက် (n) avert one’s face.    သ္ဍိုက်မုက် (v) to insult. [Cf.] second sense,  ဂတ။ third sense, ဒရီု(မ်)၊ မတ်၊ မုဟ်၊ သၟောန်။ fourth sense, ဥတု၊ မုဟ်၊ ရာသဳ။"
Face,မုက်ခဝါ,(n) face.
Face,မုက်မတ်,"(n) face, expression sown on the face, countenance, visage, facade, super  facial or outward appearance."
Face certain direction,ပ္တဝ်မုက်,"(v) face certain direction, face toward."
Face downwards.  ဖ္တက်။,ဖတက်,"(v) to tumble, turn a somersault, to lie face downwards, to be prone, face downwards. [id] ဖ္တက်။"
Face of the rain,မုက်ဗြဲ,"(n) face of the rain, rainy season."
Face of the tide,မုက်ဍာ်,"(n) seasonal floods, strong current of water which flows into the main stream, face of the tide."
Face powder,ခၞိက်ဂစေံ,(n) face powder.
Face powder,ထၞိက်ဂစေံ,ထၞိက်ဂစေအ် (n) face powder.
Face powder.  အစီအဇန်၊ အသောၚ်၊ ဟာန်ဗာန်။  ဖျေံ  to deck,ဂစေံ,ခၞိက်ဂစေံ(အ်) (n) face powder. [Cf.] အစီအဇန်၊ အသောၚ်၊ ဟာန်ဗာန်။ [Der.] ဖျေံ(အ်) (v) to deck.
Face someone,တဝ်ဒးမုက်,"(v) face someone, confront."
Face the bow of the canoe eastward,ပ္တဝ်ဏာက္ဍိုပ်လ္ပာ်ဗၟံက်,(v) face the bow of the canoe eastward.
Face to face,တိုဟ်,"(adv) exactly, immediately, quickly, face to face."
Face to face,မုက်ကဵုမုက်တဝ်မံၚ်,"(adv) facing each other, face to face."
Face to face.  ဆေၚ်မုက်။,ဆေၚ်,1 (adv) face to face. [id] ဆေၚ်မုက်။
Face toward,ပ္တဝ်မုက်,"(v) face certain direction, face toward."
Face towel,ယာတ်ဇိုတ်မုက်,"(n) towel, face towel."
Face-powder.  ဖျေံ  to deck out,ဖစေံ,ခၞိက်ဖစေံ(အ်) (n) face-powder. [Der.] ဖျေံ(အ်) (v) to deck out.
Face.  မုက္ခဝါ။,အဝါမုက်,(n) face. [Cf.] မုက္ခဝါ။
Face.  မုက်ခဝါ။,ခဝါ,3 (n) face. [id] မုက်ခဝါ။
Facial expression,အကာဲအရာမုက်မတ်,"(n) façade, superficial or outward appearance, facial expression."
Facial expression ,ကဵုမုက်,(v) facial expression {usually for put on looks}.
Facial expression or sign,လက်သန်မထ္ၜးနကဵုမုက်မတ်,(n) facial expression or sign.
Facilitate.  သ္ကဵုတၚ်ဝါတ်ဂါတ်အောန်စှ်ေ။,သ္ကဵုကလိတ်ကလောတ်ဗွဲ,(v) facilitate. [id.] သ္ကဵုတၚ်ဝါတ်ဂါတ်အောန်စှ်ေ(ဟ်)။
Facing each other,မုက်ကဵုမုက်တဝ်မံၚ်,"(adv) facing each other, face to face."
Facing the head of the road,တဝ်က္ဍိုပ်ဂၠံၚ်,(adv) {of a house} facing the head of the road.
Facing towards.  ပ္တဝ်။,ပတဝ်,"(v) straight ahead, facing towards. [id] ပ္တဝ်။"
Facism,ဝါဒဝှိတ်သေတ်,(n) [Eng.] facism.
Fact,အဆတ်,"(n) truth, reality, fact, what is right, what is correct, what is certain, what is genuine or authentic.(adv.) certainly."
Fact ,ဒဒှ်,"(n) happening, occurrence, episode, event, becoming, stage, condition, circumstance, being, becoming,  status, rank, position, sort, kind, {the} fact {that}."
Fact (that}.  ဒဒှ်။,တဒှ်,"(n) state, condition, circumstances status, rank, position, sort, kind, (the) fact (that}. [id] ဒဒှ်။"
Fact less,မဟၟဲကဵုတၚ်နၚ်,"(adj) fact less, data less, pointless."
Fact of being.   အခၚ်စိုပ်ဣတေံဟွံတီ  this fellow did not know that he had arrived.   အခၚ်ညးကၠုၚ်အဲဟွံတီ  i don’t know that he will com,အခၚ်,"1 (n) fact that, fact of being.   အခၚ်စိုပ်ဣတေံဟွံတီ (n) this fellow did not know that he had arrived.   အခၚ်ညးကၠုၚ်အဲဟွံတီ (n) I don’t know that he will com."
Fact of concerning,ပရော,"(n) circumstances, fact of concerning, consequences. [id] ပရောပရာ။"
Fact that,အခၚ်,"1 (n) fact that, fact of being.   အခၚ်စိုပ်ဣတေံဟွံတီ (n) this fellow did not know that he had arrived.   အခၚ်ညးကၠုၚ်အဲဟွံတီ (n) I don’t know that he will com."
Fact.    တ္ၚဲဏံဂွံတီခါန်ဍေံဇှ်  i heard today that he had malaria.  အခၚ်၊ ဒဒှ်၊ ပရိုၚ်၊ ပရော။,ခါန်,2 (n) fact.    တ္ၚဲဏံဂွံတီခါန်ဍေံဇှ် (n) I heard today that he had malaria. [Cf.] အခၚ်၊ ဒဒှ်၊ ပရိုၚ်၊ ပရော။
Factionalist,ရဲပါ်ဂိုန်,"(n) sectarian, factionalist."
Factor,ကိုန်ပါ်ကဵုအဆ,(n) {maths} factor.
Factor matter about an event,လိက်ပရေၚ်,(n) factor matter about an event.
Factors which bring about prospering and wellbeing,စက်သမ္ပတ္တိ,(n) factors which bring about prospering and wellbeing.
Faculty of perception and cognition which forms one of the five aggregates constituting a being,သညာက္ခန္ဓာ,(v) [P.] faculty of perception and cognition which forms one of the five aggregates constituting a being.
Faculty to comprehend the teaching of the buddha,ပဋိဝေဓ,"(n) comprehension of abstruse, concepts, activity of mind, faculty to comprehend the teaching of the Buddha."
Faculty to recall past existences,ပုဗ္ဗနိဝါသညာန်,(n) faculty to recall past existences.
Faddy,မပ္တန်ဗဒှ်တၟေၚ်တၟေၚ်,(adj) faddy.
Fade,ဟဲဇး,"(v) to be faded, to lose strength, fade, become faint, lose lustre."
Fade from memory,ဝိုတ်ကၠေံ,"(v) fade from memory, think no more of."
Faded,ဖျိုဟ်,"2 (adj) grey, pale, faded, light {colour}.    (v) relax."
Faded,ဖျိုဟ်ပြေတ်,(v) faded.
Faded or withered,က္ဍုဟ်ယောပ်,"(adj.) old, faded or withered."
Faeces,ကၞေံ,"ကၞေံ(အ်) 2 (n) see ကဏေံ(အ်) (n) yesterday, faeces."
Faeces,အသုဘ,"2 (n) [LF, polite] faeces, impurity. [id] အိက်၊ ကၞေံ(အ်) ခၠိုက်၊ တရဴဇၞော်၊ ဒဒှ်မကၠိပပ်၊ ဒဒှ်မတ္ဍိုက်လ္ၚေၚ်၊ ဒဒှ်မဟွံအးၚး။"
Faeces,အိက်,"(n) excrement, faeces, dung, interest, [in phr.] excretion, waste product. [Cf.] အသုဘ၊ ကၞေံ(အ်)၊ ဝဲါ။"
Faeces.  ကၞေံ။    ကၞေံစုတ်  defecate.  အိက်စုတ်၊ အိက်ထောံ။  အသုဘ၊ အိက်။     ဝဲါ  excrement,ကဏေံ,"2 ကဏေံ(အ်) (n) faeces. [id] ကၞေံ(အ်)။    ကၞေံစုတ် (v) defecate. [Syn.] အိက်စုတ်၊ အိက်ထောံ(အ်)။ [Cf.] အသုဘ၊ အိက်။    [Var.] ဝဲါ(ယ်) (n) excrement, fertilizer, manure."
Faggot,မိန်,"2 (n) armful, bundle, faggot"
Fagraea fragrans,တၞံဂနာၚ်,"(n) a kind of hard wood tree, Fagraea fragrans."
Fagraea fragrans roxburgh,အနာၚ်,(n) Fagraea fragrans Roxburgh.
Fagraea fragrans.  တၞံဂနာၚ်။,တၞံအနာၚ်,"(n) an anaing tree {a kind of large hard timber tree, yielding fragrant yellow flower}, Fagraea fragrans. [id] တၞံဂနာၚ်။"
