English,Mon,Original_Definition
Haberdashery,ဆေၚ်ဖျာမသွံကပေါတ်မလှေက်မလှံၚ်,(n) haberdashery.
Habit,ဓမ္မတာ,"(n) the established order, custom, habit, nature, law of nature, men teachings, menstruation."
Habit,ဝသဳ,"(n) [P.] trait, nature, habit."
Habit,ဝေါဟာ,"(n) [P. vohara] custom, habit, practice, common use."
Habit,သ္ကေၚ်,"(n) habit, custom. [Var.] ကေၚ်။"
Habit,အကေၚ်,"(n) habit, trait, practice, custom, way, training."
Habit,အခိုက်,"(n) habit, individual custom; way, manner, usage, precedent, trait, practice."
Habit,အခိုက်ကၞာ,"(n) habit, manner, way of doing things, tradition, precedent, hereditary rites, customs, clan traditionally worshipped."
Habit,အလံ,"(n) custom, habit."
Habit of ours.    အဲကဵုသမ္တီဗှ်ေလၟိုန်  i always have to remind you. nasalized k. prefix,လၟိုန်,"1 (v) to be continual, persistent, usually adverbial, regularly, always, continually.    အခိုက်ပိုဲလၟိုန်ဟွံသေၚ် (v) it is not regular, habit of ours.    အဲကဵုသမ္တီဗှ်ေလၟိုန် (v) I always have to remind you. Nasalized k. prefix, ဗိုန် (v) to be firm, steadfast."
Habit.  အခိုက်ကၞာ။,ကဏာ,3 (n) ကၞာ [id] အခိုက်ကၞာ (n) habit. [id] အခိုက်ကၞာ။
Habits,ဒဂေတ်,"1 (n) conduct, habits, character, rule of conduct, inductive law, an observance. [id] ဒ္ဂေတ်။ [Cf.] အခိုဟ်။    [Der.] ဒ္ဂေတ် (n) conduct.    ဒ္ဂေတ်ဍေံခိုဟ်ဟာ ဟွံခိုဟ်ဟာ (n) has his conduct been good, or not?    ဒ္ဂေတ်ပဋိပတ်ဍေံ မစိုပ်ဒၟံၚ်ကဆံၚ်သ္ဒးစောစ (n) his behaviour verges on abuse."
Habits,အဇ,"(n) manner, habits, customs, behaviour, moral character, moral behaviour."
Habits,အလိုက်,"(n) manner, habits, customs, tradition, according to, along, accord, convenience."
Habits and customs,ခိုက်,"(n) manner, habits and customs."
Habits and customs,အကာရ,"(n) [P.] manner, way in which a thing is done or happen, person’s way of behaving towards others, [Pl] habits and customs, social behaviour."
Habitual conduct,ပဋိပတ်,"ဒ္ဂေတ်ပဋိပတ် (n) habitual conduct, character."
Habitual conduct.  သိက္ခာ။,ဒ္ဂေတ်ပဋိပတ်,"(n) morality, breeding, character, habitual conduct. [id] သိက္ခာ။"
Habitual objector,အခိုအ်,"(n) a person who always contradicts others, habitual objector."
Habitual.  မကေဝ်ဒၟံၚ်တွဵု၊ မဒှ်ဒၟံၚ်အကေၚ်။,မဒှ်ဒၟံၚ်အလေံအခိုက်အလိုက်,(adj) habitual. [id] မကေဝ်ဒၟံၚ်တွဵု၊ မဒှ်ဒၟံၚ်အကေၚ်။
Habitually,နဒဒှ်မဒှ်ကၠုၚ်လဝ်အခိုက်အလိုက်,(adv) habitually.
Habituate.  ဒှ်ဒၟံၚ်အကေၚ်။,ဒှ်ဒၟံၚ်အခိုက်အလိုက်,(v) habituate. [id] ဒှ်ဒၟံၚ်အကေၚ်။
