English,Mon,Original_Definition
Jack ass,မာဲတၟက်,(n) jack ass.
Jack seed,မပၞဟ်,(n) jack seed.
Jack tree,တၞံပၞဟ်,"(n) jack tree, Artocarpus integrifolia L."
Jack tree,ပဏဟ်,"(n) [P./Skt. panasa] jack-fruit, jack tree, Artocarpus integrifolia L. [id] ပၞဟ်။"
Jack tree,ပဏဟ်,တၞံပၞဟ် (n) jack tree.
Jack tree,ပနဟ်,"1 (n) jack-fruit, jack tree, artocarpus integrifolia L. [id] ပၞဟ်။    တၞံပၞဟ် (n) jack tree.    ရိပၞဟ် (n) woody fibers running through centre of jack fruit. [Cf.] ပၞး။ [Skt. panasa]."
Jack tree,ပၞဟ်,"(n) jack-fruit, jack tree, Artocarpus integrifolia L."
Jack tree,ပၞဟ်,တၞံပၞဟ် (n) jack tree.
Jack-fruit,ပဏဟ်,"(n) [P./Skt. panasa] jack-fruit, jack tree, Artocarpus integrifolia L. [id] ပၞဟ်။"
Jack-fruit,ပနဟ်,"1 (n) jack-fruit, jack tree, artocarpus integrifolia L. [id] ပၞဟ်။    တၞံပၞဟ် (n) jack tree.    ရိပၞဟ် (n) woody fibers running through centre of jack fruit. [Cf.] ပၞး။ [Skt. panasa]."
Jack-fruit,ပၞဟ်,"(n) jack-fruit, jack tree, Artocarpus integrifolia L."
Jack-knife,ၜုန်သၞေၚ်စာၚ်,"(n) pen-knife, jack-knife, clasp-knife."
Jackal,ကၠဵုဃြုတ်,"(n) jackal, Canis aureus L., wild animal of Africa and Asia that is related to the dog."
Jacket,ဂတိုပ်,"(n) see ခတိုပ် (n) ဂတိုပ် (n) {of books and penodicals} front cover, jacket."
Jacket,ပလောံ,"ပလောအ် (n) upper garment, jacket, coat, shirt, shirt or jacket off any kind."
Jade,မၞိက်စၞာံဒုန်,(n) jade.
Jagged.  မစှေ်ဒၟံၚ်တပ်တပ်။,မနွံကဵုတၞုၚ်ကေက်ကေက်,"(adj) pointed, jagged. [id] မစှေ်ဒၟံၚ်တပ်တပ်။"
Jaggery,သ္ကဝ်,"2 (n) coarse sugar, jaggery."
Jaggery.  ကဝ်တာ။,သ္ကဝ်သတာ,"(n) palm sugar, coarse sugar prepared from palmyra sap, jaggery. [Cf.] ကဝ်တာ။"
Jail,ဂုက်,"(n) gaol, prison, prison cell, cage for prisoner, jail, lock-up. [Var.] ကြိုၚ်စုတ်လဝ်ပ္ဍဲခရိုၚ်၊ စာတ်၊ သ္ၚိစာတ်။ [Syn.] ထံၚ်။"
Jail,ထံၚ်,"1 (n) goal, jail, prison.    စုတ်ထံၚ် (v) to gaol, put in prison. [id] ပၠောပ်ထံၚ်၊ ဖျေံထံၚ်။ [Syn.] ဂုက်။"
Jailer,ဇမၞော်ထံၚ်,(n) jailer.
Jailer,အကြာပ်ထံၚ်,"(n) warder, jailer, person who works as a guard in a prison."
Jam,ယိုဟ်,"(v) preserved fruit, compote, jam, candied fruit, fruits preserved in sugar. [Cf.] ယိုဟ်သ္ၜန်။"
Jambudipa,ဇမ္ဗုဒိပ်,"(n) great island which is the home of the Eugenia tree and lies south of Mount Meru, Jambudipa, the southernmost of the four great islands including India."
Jambudipa,တကံ,တ္ကံကြေၚ် (n) Jambudipa.
Jambudipa,တကံ,"တ္ကံဇမ္ဗူဒိတ် (n) Jambudipa, great island which is the home of Eugenia tree and lies south  of Mount Meru."
Jammed,ကြေပ်,"(v) to be interposed between two surfaces, jammed, cramped."
January.  roughly corresponding to ဂိတုပုဟ်။,ဂိတုဂျိန်နျူအာရဳ,(n) [Eng.] January. [Mon] roughly corresponding to ဂိတုပုဟ်။
Japan lost the war,ကျ,ကျပါဂှ်ကျအာပၞာန် (v) Japan lost the war.
Japan.  ဂျပါန်။  ဂျာပါန်။,ဇပါန်,"(n) Japanese, Japan. [id] ဂျပါန်။ [Var.] ဂျာပါန်။"
Japanese,ဇပါန်,"(n) Japanese, Japan. [id] ဂျပါန်။ [Var.] ဂျာပါန်။"
Jar,စှ်ေ,"3 (n) jar {more especially a small jar}, small jar of demijohn shape."
Jar,နုၚ်ဓရဳ,"(n) jar, large storage jar for water."
Jar,ဗောတ်လိုအ်,"(n) pot, jar."
Jar for drinking-water,ဍာ်နုၚ်သွုၚ်,"(n) jar for drinking-water, drinking water pot."
Jar for drinking-water.  သုၚ်  to drink,သွုၚ်,ဍာ်နုၚ်သွုၚ် (n) jar for drinking-water. [Der.] သုၚ် (v) to drink.
Jar in general.  ဇရဳဇရ။  ကၠာၚ်၊ နုၚ်၊ ဗောတ်၊ ဒရဳ၊ ဓရဳ။,ဇရဳ,"ဇရဳအကြ (n) particularly large type of ဇရဳ။ [Der.] နုၚ်ထၟာဲ (n) house hold pottery, earthenware, jar in general. [id] ဇရဳဇရ။ [Cf.] ကၠာၚ်၊ နုၚ်၊ ဗောတ်၊ ဒရဳ၊ ဓရဳ။"
Jasmine,တၞံကမၠံ,တၞံကမၠမ် (n) jasmine.
Jasmine,မၠဵု,မၠိုဝ် (n) jasmine.
Jasmine.  တၞံကမၠံ၊ ပ္ကဴမၠဵု၊ မၠဵု၊ ဂလုံ။,ကဴမၠဵု,(n) jasmine. [id] တၞံကမၠံ(မ်)၊ ပ္ကဴမၠဵု(ဝ်)၊ မၠဵု(ဝ်)၊ ဂလုံ(မ်)။
Jasmine.  မုလဵု။,မၠဵု,ကဴမၠဵု (n) jasmine. [Cf.] မုလဵု(ဝ်)။
Jasmine.  မၠဵု။,မလဵု,(n) [P. Malika] jasmine. [id] မၠဵု(ဝ်)။
Jasminum grandiflorum l,မၠဵုဂြိုပ်,"(n) great flowered jasmine, Arbian jasmine, Jasminum smbac, jasminum grandiflorum L."
Jasminum grandiflorum shrub,စေဝ်,4 (n) မၠဵုစေဝ် (n) jasminum grandiflorum shrub.
Jasminum pubescens will denow,ဒလုံ,"(n) a kind of reed used for making mat, Clinogyne dichotomata, the many flowered jasmine, a kind of jasmine, a kind of creeper, jasminum pubescens will denow."
Jasminum pubescens will denow.  ဒလုံ  telum supra,ဒလောံ,"ဒလောံ(မ်) (n) a kind of jasmine, a kind of creeper, jasminum pubescens will denow. [Cf] ဒလုံ(မ်) (n) telum supra, sour gruel."
Jasminum pubescens willdenow.  ခပေဲါ၊ သ္ပောဲ။,ကပေဲါ,"(n) a kind of flowering creeper, Jasminum pubescens Willdenow. [id] ခပေဲါ၊ သ္ပောဲ။"
Jasminum pubescens willdenow.  ဒလုံ၊ မၠဵု။,ခလောံ,"ခလောံ(မ်) (n) a kind of creeper, Jasminum pubescens Willdenow. [Var.] ဒလုံ(မ်)၊ မၠဵု(ဝ်)။"
Jasminum smbac,မၠဵုဂြိုပ်,"(n) great flowered jasmine, Arbian jasmine, Jasminum smbac, jasminum grandiflorum L."
Jasper,မတ်သာ်တ္ၚေက်,(n) jasper.
Jaundice,ယဲဖျုန်သွဒှ်သာ်မိတ်,(n) jaundice.
Jaundiced.  မနွံကဵုစိုတ်ဟွံဒးကဵုညး။,မနွံကဵုစိုတ်တ္ၚံက်တ္ၚေဲ,(adj) jaundiced. [id] မနွံကဵုစိုတ်ဟွံဒးကဵုညး။
Java plum,ကြေၚ်ပိုၚ်,"(n) Eugenia jumbolara, Java plum."
Java plum,ကြေၚ်ဗ္တာၚ်,"(v) Java plum, Eugenia Jambolana Lamarck."
Java.  ဂျာဝါ။,ဇဝါ,(n) Java. [id] ဂျာဝါ။
Javanese,ဂလာဇဝါ,(n) Javanese.
Javelin.  ဗၞုဟ်ကၞံၚ်။    တ္ၚီုဗၞုဟ်  to thrust a spear at someone.    သၠောဝ်ဗၞုဟ်  to hurl a spear,ဗၞုဟ်,"1 (n) spear, lance, javelin. [id] ဗၞုဟ်ကၞံၚ်။    တ္ၚီုဗၞုဟ် (v) to thrust a spear at someone.    သၠောဝ်ဗၞုဟ် (v) to hurl a spear."
Jaw,ထမၚ်,"1 (n) jaw, {sides of} jaw. [id] ထၟၚ်။    ထၟၚ်ကၠိက် (n) mumps. [id] ထၟၚ်ဂုဟ်။    ထၟၚ်ခိုၚ် (n) lock jaw, tetanus. [id] ထၟၚ်ချိုတ်။ [Cf.] ထ္ၚေပ်၊ ထၟိပ်။"
Jaw,သၟၚ်,1 (n) {side of} jaw.
Jaw bone,ဇုတ်ခၟၚ်,"(n) jaw bone, mandible, lower jaw bone."
Jaw-tooth,ၚေက်အၚာပ်,"(n) back teeth, jaw-tooth, molars, double tooth, a grinder. [Syn.] အၚာပ်၊ ၚာပ်၊ လ္ၚာပ်။"
Jaw.  ထ္ၚေပ်။  first sense,ထၚေပ်,"(n) tongs, jaw. [id] ထ္ၚေပ်။ [Syn.] first sense, ထ္ကေပ်။ second sense, ထၟၚ်၊ တ္ၚေပ်။ [Der.] တ္ၚေပ် (v) to pinch. [id] ကေပ်။"
Jaw.  ထၟၚ်။    ထၟၚ်ကၠိက်  mumps.  ထၟၚ်ဂုဟ်။    ထၟၚ်ခိုၚ်  lock jaw,ထမၚ်,"1 (n) jaw, {sides of} jaw. [id] ထၟၚ်။    ထၟၚ်ကၠိက် (n) mumps. [id] ထၟၚ်ဂုဟ်။    ထၟၚ်ခိုၚ် (n) lock jaw, tetanus. [id] ထၟၚ်ချိုတ်။ [Cf.] ထ္ၚေပ်၊ ထၟိပ်။"
Jaws of death,တဲသၟိၚ်ယီု,(n) jaws of death.
Jay walker,မၞိဟ်ကၠောံဂၠံၚ်ဟွံကေတ်စေဝ်သၞောဝ်,(n) jay walker.
Jay.  ဟကာပ်။,အကာပ်,"(n) roller, blue or green jay, jay. [id.] ဟကာပ်။"
Jealous,စိုတ်စောန်ဒမြဴ,"(v) to be envious, jealous."
Jealous,စောန်,"(v) to be mottled, to be envois, jealous, to be anxious, lonely."
Jealous,စောန်ကၠိ,"(v) to be anxious, lonely, to be envious, jealous."
Jealous,စောန်စိုတ်,"(v) to be envious, jealous, be offended, be stingy, be miserly, be uncharitable. (adv) enviously, jealously. [id] ဟွံဒးစိုတ်၊ စောန်ဒမြဴ။"
Jealously.  နဒဒှ်မနွံကဵုစိုတ်တ္ၚံက်ဍုတ်ဍေဲ။,နဒဒှ်မနွံကဵုစိုတ်ဟွံသ္ဒးစိုတ်ညးတၞဟ်ဂွံခိုဟ်စ,(adv) jealously. [id] နဒဒှ်မနွံကဵုစိုတ်တ္ၚံက်ဍုတ်ဍေဲ။
Jealously.  ဟွံဒးစိုတ်၊ စောန်ဒမြဴ။,စောန်စိုတ်,"(v) to be envious, jealous, be offended, be stingy, be miserly, be uncharitable. (adv) enviously, jealously. [id] ဟွံဒးစိုတ်၊ စောန်ဒမြဴ။"
Jealousy,အစောန်စိုတ်,"(n) envy, jealousy, feeling of ill will at another’s better fortune."
Jealousy,ဣဿာ,"(n) [P.] envy, jealousy, ill-will. [id] အာဃာတ abhorrence. [id] ဒဒှ်မက္ဍုဟ်မၠေံဇအိုတ်ဇရ။"
Jealousy.  အစောန်အပြံက်၊ ဒဒှ်မတ္ၚံက်ဍုတ်ဍေဲလ္တူညးတၞဟ်။,ဒဒှ်မဟွံဒးစိုတ်ကဵုညးတၞဟ်သ္အာၚ်ခိုဟ်စ,(n) jealousy. [id] အစောန်အပြံက်၊ ဒဒှ်မတ္ၚံက်ဍုတ်ဍေဲလ္တူညးတၞဟ်။
Jeang mai.  ဇၚ်မာဲ။,ဇၚ်မှာဲ,(n) {place name} Jeang Mai. [id] ဇၚ်မာဲ။
Jeang rai,ဇၚ်ရာဲ,1 (n) {place name} Jeang Rai.
Jeep,ကာဂျိပ်,(n) [Eng.] jeep.
Jeer,ဂရိုၚ်ခရီု,"(v) mock, make fun of, ridicule, jeer, deride."
Jeer,စရဵု,"(n) ridicule, mock, jeer, deride. [id] စြဵု။"
Jeer,သ္ပပရေံ,"(v) make fun of somebody gibe, jeer, mock."
Jeer.  သ္ပစရဵု။,ပစရဵု,"(v) to mock, deride, ridicule, jeer. [id] သ္ပစရဵု(ဝ်)။"
Jeer.  သ္ပစရဵု။,ပစရိုဝ်,"(v) to mock, deride, ridicule, jeer. [id] သ္ပစရဵု(ဝ်)။"
Jelly,ဂြိုဟ်တၟံ,"ဂြိုဟ်တၟအ် (n) agar-agar, gelatin, jelly."
Jelly-fish,တု,"တုဂၚ် (n) jelly-fish, sea slug."
Jelly-fish,တုဂၚ်,"(n) jelly-fish, sea slug."
Jelly-soft,ခပေက်,"2 (v) puply, jelly-soft, weak, flaccid, doughy, mushy, marshy. [id] ဂပေက်၊ ထ္ပေက်။    ပုၚ်ထ္ပေက် (v) the rice become soft."
Jelly-soft,ချာချာ,"(adj) soft, pulpy, jelly-soft, flaccid."
Jelly-soft,ဂပေက်,"(v) see ခပေက် (v) pulpy, jelly-soft, weak, flaccid, doughy, mushy."
Jelly-soft,ထပေက်,"2 (v) to be soft. [id] ထ္ပေက်။    ပုၚ်ထ္ပေက်အာ (v) the rice become soft. (adj) pulpy, jelly-soft, weak, flaccid. [Var.] ဍိုန်။"
Jeopardize,စိုပ်ကၠုၚ်ကဆံၚ်ဒှ်အန္တရာဲ,"(v) jeopardize, -ise."
Jerk convulsively in the throes of death,ဒလူခၟိပ်,"(v) put out one’s chin as in a dance, (of the chin) jerk convulsively in the throes of death, point at something using one’s chin."
Jerkily,ခက်ခက်,(adv) jerkily.
Jerkin,ဂျာကေန်,(n) [Eng.] jerkin.
Jersey,ဂျာသဳ,(n) [Eng.] jersey.
Jess for poultry,ဒနက်,"1 (n) noose, fowler’s snare, jess for poultry, ambush. [id] ဒၞက်။    ပိုဲအာပံါစာၚ်ဂြိုပ်ကဵုဒၞက် (v) we are going to set snares for jungle fowl.    ဒက်စာၚ်ကဵုဒၞက် (v) to tether fowls by the leg.    ပးဒၞက် (n) snare. [Cf.] first sense, ခၟုဲ၊ ဇုက်ဒုက်၊ တေပ်၊ တီု၊ ပး၊ လျံ(အ်)။    [Der.] ဒက် (v) to bind."
Jess for poultry,ဒၞက်,"(n) noose, fowler’s snare, jess for poultry, ambush. [id] လယံ(အ်)"
Jest,စ,"5 (v) tease, jest, joke, make fun of, poke fun at, taunt."
Jest.  လ္ပပျိုၚ်။,ပပျိုၚ်,"(v) do not poke fun at, joke, jest. [id] လ္ပပျိုၚ်။"
Jet,မတ်မဟူရာ,"(n) jet, hard black mineral that can be polished brightly and used for jewellery."
Jet plane,က္ၜၚ်ကျာဂျိတ်,(n) jet plane.
Jet.  မတ်လမ္စံက်။,မတ်ပ္စံက်,(n) jet. [id] မတ်လမ္စံက်။
Jetavana,ဇေတဝန်,"(n) [P.] Jetavana, famous monastery in the time of Buddha."
Jetty,ခဒန်,"(n) bridge, jetty, wharf built on piles over water. [id] ဒဒန်။"
Jetty,ခဒန်,ဒဒန်က္ဍိုပ်ဂၠေံ(အ်) (n) jetty.
Jetty,စှ်ေ,"1 (v) to go down, descend {honorific}, to go, come.    ကရေၚ်မွဲစှ်ေကၠုၚ်နူဒဵု (v) a Karen come down from the hill.    ဍာ်စှ်ေ (v) low tide. [id] ဒဳစှ်ေ။    ဍေံပဒေါံကွဳတုဲစှ်ေတိ (v) he stopped the cart and go down.    မၞးစှ်ေဒုၚ်အဲပ္ဍဲရုၚ်ကွဳပၟတ်ဂှ် အဲတၚ်ဂုန်ရ (v) thank you for coming to meet me at the station final in (v) (phr.) expletive with (vv.) of falling.    ထၞောဟ်စှ်ေ (v) to drip.    ဒတုံစှ်ေ (v) to fall.    ဒေါံစှ်ေ (v) to fall down, otherwise directiona.    ဗက်စှ်ေဍာ် (v) to go down with the current.    ဗၠိုပ်စှ်ေ (v) to dive down.    ယဵုစှ်ေ (v) to breathe in.    သတ်စှ်ေအာ (v) to stick out and hang down. [Cf.] ဆၚ်၊ ဍုန်။ [opp.] တိုန်။    [Der.] ဒစှ်ေ (n) lower level.    သၞေဟ် (n) ghat, wharf, dock, pier, jetty, harbour, port, pontoon.    ဖျေံ (v) to lower."
Jetty,ဒဒန်,"(n) bridge, jetty, wharf built on piles over water, pier. [Der.] တာဲဒၟုက်က္ၜၚ် (n) wharf. [id] ခဒန်၊ ဒဒန်က္ၜၚ်ဗ္ဒိ။"
Jetty,ဒဒန်က္ဍိုပ်ဂၠေံ,(n) jetty.
Jewel,မနဳ,"(n) [P.] gem, jewel."
Jewel,မတ်,"1 (n) jewel, precious stone. [id] ရတ်၊ မၞိက်။"
Jewel,မၞိက်,"(n) gem, jewel, ruby. [id.] မတ်မၞိက်။"
Jewel,ရတ်,"1 (n) jewel, jewellery, precious stone, gem, anything precious, floor beam.    ပၞၚ်ရတ် (n) jewelled throne.    မတ်မနွံကဵုၚ္ၚုဟ်မး (n) precious stone. [Cf.] မတ်။"
Jeweler,ညးဗၞိက်သွံရာန်မၞိက်ရတ်,(n) jeweler.
Jeweler.  သၟာမတ်။,ခမှာတ်မတ်,(n) jeweler. [id] သၟာမတ်။
Jeweller,သၟာမတ်,"(n) jeweller, worker in gem. [id.] သၟာမၞိက်။"
Jewellery,ကယျိုၚ်ကယျဝ်,(n) jewellery.
Jewellery,ရတ်,"1 (n) jewel, jewellery, precious stone, gem, anything precious, floor beam.    ပၞၚ်ရတ် (n) jewelled throne.    မတ်မနွံကဵုၚ္ၚုဟ်မး (n) precious stone. [Cf.] မတ်။"
Jewellery or ornament used for personal adornment,ကပေါတ်ကယျိုၚ်,"(n) ornaments, jewellery or ornament used for personal adornment."
Jewish feast of the passover,ပေဲါပသာခါ,(n) Jewish feast of the Passover.
Jewish feast of the passover   ပေဲါပသခါ။  jewish rabbi.   ပရောဟိတ်ယတ်။,Jewish,"adj.  မဆေၚ်စပ်ကဵုဂကူရဟူဒဳ, ဂကူဟေဗြေဝ်, ဂကူဂျူ။  Jewish Feast of the Passover (n)  ပေဲါပသခါ။  Jewish rabbi. (n)  ပရောဟိတ်ယတ်။"
Jewish priest,ပရောဟိတ်ယတ်,"(n) Jewish rabbi, Jewish priest."
Jewish rabbi,ပရောဟိတ်ယတ်,"(n) Jewish rabbi, Jewish priest."
Jiggery,ကဝ်တာ,"(n) coarse sugar prepared from Palmyra sap, jiggery."
