English,Mon,Original_Definition
O,သွဵု,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
O,သွိုဝ်,"1 (n) {a} speech-sound made without audible stopping of the breath by the tongue, lips, etc. {attrib} a vowel system. {b} letter or letters used to represent such a sound, eg. A,, e, i, o, u, ee, eo. [Cf.] ဗျန် (n) consonant."
O. a. seven,သတ္တမ,(n) [P.] o. a. seven.
Oak,ကြောတ်,"1 (n) oak, Quercus L."
Oak,ချကၠိက်,(n) oak.
Oar,တ္ၚိုက်,(n) oar.
Oar.  တ္ၚိုက်။,တၚိုက်,(n) oar. [id] တ္ၚိုက်။
Oarsman.  မၞိဟ်ဒုန်ဂၠုၚ်၊ သၟာဂၠုၚ်။,မၞိဟ်ဗက်ဂၠုၚ်,(n) oarsman. [id.] မၞိဟ်ဒုန်ဂၠုၚ်၊ သၟာဂၠုၚ်။
Oath,ခစာ,"1 (n) oath of allegiance, oath, solemn agreement compact, allegiance, loyalty. [id] သ္စာ။    ယဵုသ္စာ (v) to take the oath in court.    သ္ပသ္စာ (v) to take an oath of allegiance, to make a compact. [Cf.] အဓိဋ္ဌာန်၊ အဓိတ္ထာန်၊ သွဴ။    သ္စာဍေံဟွံလီု(မ်) (n) his loyalty was unshaken."
Oath,သ္စာ,"(n) troth, fealty, oath allegiance, oath, solemn agreement, compact allegiance, loyalty, fealty troth."
Oath,သွဴ,"1 (n) conditional or absolute invocation of evil consequences, oath, vow, curse.    ဒုၚ်သွဴ (n) to swear vow. [Cf.] အဓိဋ္ဌာန်၊ က္သဴ၊ ချဴ၊ သ္စာ။"
Oath allegiance,သ္စာ,"(n) troth, fealty, oath allegiance, oath, solemn agreement, compact allegiance, loyalty, fealty troth."
Oath of allegiance,ခစာ,"1 (n) oath of allegiance, oath, solemn agreement compact, allegiance, loyalty. [id] သ္စာ။    ယဵုသ္စာ (v) to take the oath in court.    သ္ပသ္စာ (v) to take an oath of allegiance, to make a compact. [Cf.] အဓိဋ္ဌာန်၊ အဓိတ္ထာန်၊ သွဴ။    သ္စာဍေံဟွံလီု(မ်) (n) his loyalty was unshaken."
Oats.  ဂျုၚ်ဗ္စချေံမတိုန်ပ္ဍဲဒေသဉ္စတုဂံက်ဂၠိုၚ်တေံ။,ဂျုၚ်ချေံစ,(n) oats. [id] ဂျုၚ်ဗ္စချေံမတိုန်ပ္ဍဲဒေသဉ္စတုဂံက်ဂၠိုၚ်တေံ(အ်)။
Obduracy.  စရံ၍်။,ဒဒှ်က္ဍိုပ်မကြံၚ်မ္ၚိုဟ်,(n) obduracy. [id] စရံ၍်။
Obdurate,မ္ၚိုဟ်စိုတ်,"(v) to be obstinate, stubborn, obdurate."
Obedience,ဒဒှ်မဇံသဝ်ရှ်ေသှ်ေ,(n) obedience.
Obedience,လ္တာ်စက်အဝဵုစက်,"(n) power of command, obedience, charisma."
Obediently,နဒဒှ်မဇံသဝ်ရှ်ေသှ်ေ,(adv) obediently.
Obese,ကြောံ,"ကြောံ(အ်) (adj.) fat, obese, plump."
Obese,ကြောံဒုတ်,"(adj.) fat and rotund, corpulent, obese."
Obese person,အကြောံ,"(n) fat and rotund man, corpulent person, fat and heavy person, obese person, very fat person, fatty. [id.] အကြောအ်။"
Obesity,ဒဒှ်မကြောံတဴဗွဲ,(n) obesity.
