English,Mon,Original_Definition
Quadrangular,မနွံကဵုဒ္ကဴပန်ဒရာနာပန်လ္ပာ်,(adj) quadrangular.
Quadruped,သတ်ဇိုၚ်ပန်,"(n) quadruped, animal."
Quail,ထဂုတ်,"(n) quail, Coturnix. [id] ဂစေံထဂုတ်။ [Var.] အဃိုတ်၊ ထဂိုတ်။"
Quail,ဒဂိုတ်,"(n) quail, Coturnix. [Var.] အဂိုတ်၊ ထဂိုတ်။"
Quail,အဃိုတ်,"(n) blunt fellow or person, {bird} quail."
Quail.  ဂစေံအဃိုတ်၊ ဂစေံဒဃိုတ်၊ ဂစေံဒဂုက်၊ ဂစေံဒဂိုတ်။,ဂစေံထဂုတ်,(v) quail. [Cf.] ဂစေံအဃိုတ်၊ ဂစေံဒဃိုတ်၊ ဂစေံဒဂုက်၊ ဂစေံဒဂိုတ်။
Quaintness,ဒဒှ်မတၟေဟ်တၟဟ်,(n) quaintness.
Quake,ချဳ,"(v) to shake, quake, quiver, rock, be loose in a socket."
Quake,ဆီ,"(v) to shake, quake, quiver, rock, be loose in a socket. [Der.] ချဳ။"
Quake,ဇတဝ်ဂရိုက်,"(v) to shake, quake."
Quake,ဒရာၚ်,"(v) to shake, quake, quiver, rock, be loose in a socket."
Quake or tremble .  tremblingly,ဖေက်ဂတဝ်,(v) quake or tremble {with fear}. (adv) tremblingly.
Quake.    ဂတဝ်တသု  to shake,ခတဝ်,"2 (v) to shiver, tremble, quake. [id] ဂတဝ်။    ဇွဟ်ဂတဝ် (n) ague.    မၞိဟ်တဲဲဂတဝ်ဂတဝ်မွဲ (adv) a man with shaky hands.    ၜိုဟ်ဂတဝ် (v) to shiver with cold. [Cf.] ချဳ၊ ဂတဝ်၊ ဂယတ်၊ ဂရိုက်၊ ဂဝုဲ(ယ်)၊ ဇတဝ်။    ဂတဝ်ဂရိုက် (v) shake, quake.    ဂတဝ်တသု (v) to shake, to tremble.    ဂတဝ်နရာတ် (v) to tremble with emotion."
Quake.  ခရိုက်၊ ဂယှ်၊ ဂရု၊ ဂရိုက်၊ ဂဝိုက်၊ ဓရိုက်၊ ပချဳ၊ ပိုက်၊ လယှ်၊ လရု၊ လရိုက်၊ လဝိုက်။,ဒရိုက်,"ဇတဝ်ဇရိုက် (v) to shake, quake. [Cf] ခရိုက်၊ ဂယှ်(ဟ်)၊ ဂရု၊ ဂရိုက်၊ ဂဝိုက်၊ ဓရိုက်၊ ပချဳ၊ ပိုက်၊ လယှ်(ဟ်)၊ လရု၊ လရိုက်၊ လဝိုက်။"
